LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
43766627397168972639,FIDELIS HOLDINGS LLC,D159,Retail Dispensary,Active,CLARK
44563284956259379216,LONE MOUNTAIN PARTNERS LLC,RD592,Retail Dispensary,Active,CLARK
44593280192084310982,CHEYENNE MEDICAL LLC,D028,Retail Dispensary,Active,CLARK
44613767467345472019,DEEP ROOTS HARVEST INC.,D165,Retail Dispensary,Active,CLARK
44883920913662445208,PREMIUM PRODUCE LLC,C033,Retail Cultivation,Active,CLARK
44967653318399830596,DPL NV LLC,L015,Retail Laboratory,Active,CLARK
45124567643462616034,MINT CULTIVATION NV LLC,P007,Retail Production,Non-Operational,CLARK
45333337224974981554,HIGH SIERRA HOLISTICS LLC,RD665,Retail Dispensary,Active,LYON
45452459135682728564,GREENWAY MEDICAL LLC,C018,Retail Cultivation,Active,CLARK
45550027572824324494,NEVADAPURE LLC,C026,Retail Cultivation,Active,CLARK
45779336388196486818,SILVER BLACK ATTACK LLC,C014,Retail Cultivation,Active,CLARK
46100778561169443516,G3 LABS LLC,L007,Retail Laboratory,Active,CLARK
46177828217679739988,GREENSCAPE PRODUCTIONS LLC,P080,Retail Production,Active,CLARK
46934338604709544132,KYND-STRAINZ LLC,D110,Retail Dispensary,Active,WASHOE
47094106326314465305,CARSON CITY AGENCY SOLUTIONS LLC,P070,Retail Production,Active,CARSON CITY
47182081583508846760,RETAIL FACILITIES OPERATIONS NV LLC,D092,Retail Dispensary,Active,CLARK
48154658590044707064,NEVADA GROUP WELLNESS LLC,P103,Retail Production,Active,CLARK
48202177934598005793,ESSENCE TROPICANA LLC,RD317,Retail Dispensary,Active,CLARK
48309202150183437033,SILVER SAGE WELLNESS LLC,D049,Retail Dispensary,Active,CLARK
48573289589249273073,NATURAL MEDICINE LLC,D089,Retail Dispensary,Active,Clark
48581446096638497899,MBNV GT LLC,C082,Retail Cultivation,Active,CLARK
49035067150536429938,WAVESEER OF LAS VEGAS LLC,P053,Retail Production,Active,CLARK
49050217089132565292,UNIFERN LLC,C179,Retail Cultivation,Active,CLARK
49988620104464639364,YMY VENTURES LLC,C051,Retail Cultivation,Active,CLARK
50474160252959804517,NABISIX LLC,T003,Retail Distributor,Active,WASHOE
50672104256468641763,TGIG LLC,P025,Retail Production,Active,CLARK
50748233769645953480,NATUREX II LLC,D080,Retail Dispensary,Active,CLARK
50908730033762851212,CANNAVATIVE FARMS LLC,C071,Retail Cultivation,Active,WASHOE
51266222807288437193,DEEP ROOTS ARIA ACQCO INC,D152,Retail Dispensary,Active,CLARK
51876830467987506091,NATURAL MEDICINE LLC,C052,Retail Cultivation,Active,CLARK
52055082544233112314,WELLNESS & CAREGIVERS OF NEVADA NLV LLC,C102,Retail Cultivation,Active,CLARK
52125541619394980552,GTI NEVADA LLC,D097,Retail Dispensary,Active,WASHOE
52453211787476290375,SILVER STATE RELIEF LLC,RD400,Retail Dispensary,Active,WASHOE
52625545245998432280,POLARIS WELLNESS CENTER LLC,C168,Retail Cultivation,Active,CLARK
52712498758628776807,3AP INC,C074,Retail Cultivation,Active,CLARK
53116055364203491071,SOLACE ENTERPRISES LLC,P046,Retail Production,Active,CLARK
53908146183081867945,HELPING HANDS WELLNESS CENTER INC,P092,Retail Production,Active,CLARK
54135769938859220718,ESSENCE TROPICANA LLC,D043,Retail Dispensary,Active,CLARK
54283805068313943868,GLP LAS VEGAS LLC,D138,Retail Dispensary,Active,CLARK
54535922714915823296,NEVADA HOLISTIC MEDICINE LLC,D053,Retail Dispensary,Active,CLARK
54588636135598286871,NULEAF CLARK DISPENSARY LLC,D065,Retail Dispensary,Active,CLARK
54843900353627537885,MM DEVELOPMENT COMPANY INC,C003,Retail Cultivation,Active,CLARK
54980305084297438991,THC NEVADA LLC,C030,Retail Cultivation,Active,CLARK
55363208938053798722,NATURAL MEDICINE LLC,D091,Retail Dispensary,Active,CLARK
55910347793434478299,SERENITY WELLNESS CENTER LLC,D046,Retail Dispensary,Active,CLARK
55959028344138859769,MEDICAL CANNABIS HEALING LLC,C178,Retail Cultivation,Active,CLARK
56426800972005264608,TRYKE COMPANIES SO NV LLC,D030,Retail Dispensary,Active,CLARK
56587702954468594911,STRATA GROWTH LLC,C130,Retail Cultivation,Active,NYE
56859471821919325427,SF-D INC,D012,Retail Dispensary,Active,CLARK
57013223548758955335,ACRES CULTIVATION LLC,C013,Retail Cultivation,Active,NYE
57228409765781650784,NEVADA WELLNESS CENTER WEST LLC,RD505,Retail Dispensary,Active,CLARK
58417803212814915538,WELLNESS CONNECTION OF NEVADA LLC,RD633,Retail Dispensary,Active,CLARK
59173856084611315340,HH SUB II LLC,RD546,Retail Dispensary,Active,CLARK
59239887350322215968,INTEGRAL PRODUCTION LLC,P020,Retail Production,Active,CLARK
59240477366367737854,ZENWAY CORP,C140,Retail Cultivation,Active,CLARK
59287610826909824091,DEEP ROOTS ARIA ACQCO INC,D107,Retail Dispensary,Active,CLARK
59947598683440960996,HIGH SIERRA HOLISTICS LLC,P069,Retail Production,Active,WASHOE
59957937698775278559,SILVER STATE WELLNESS LLC,C101,Retail Cultivation,Active,CLARK
60040931748706185991,HAPPY CABBAGE LLC,C035,Retail Cultivation,Active,NYE
60209124011694020439,SENSIBLE EDIBLES LLC,P031,Retail Production,Active,WASHOE
60232754740405315836,HH SUB I LLC,RD548,Retail Dispensary,Active,CLARK
60481353847758083620,TRYKE COMPANIES SO NV LLC,T084,Retail Distributor,Active,CLARK
60617213048329483143,FIDELIS HOLDINGS LLC,C133,Retail Cultivation,Non-Operational,CLARK
60784621649758886862,DEEP ROOTS HARVEST INC,T095,Retail Distributor,Active,CLARK
61179392211013199930,SSAC D1 LLC,D060,Retail Dispensary,Non-Operational,WASHOE
61301779234796117347,CLARK NATURAL MEDICINAL SOLUTIONS LLC,C165,Retail Cultivation,Active,CLARK
61611537222691531848,SERENITY WELLNESS PRODUCTS LLC,T073,Retail Distributor,Active,CLARK
62002429809099661968,GREEN THERAPEUTICS LLC,P055,Retail Production,Active,CLARK
62288713970409249760,CLEAR RIVER LLC,T020,Retail Distributor,Active,CLARK
62340865056138997248,INTEGRAL CULTIVATION LLC,T043,Retail Distributor,Active,CLARK
62474301567586344896,MM DEVELOPMENT COMPANY INC,D006,Retail Dispensary,Active,CLARK
63179017136792237088,JADE SKY POINTE LLC,RD591,Retail Dispensary,Active,CLARK
63823018604028060344,DUNE PROCO LLC,P087,Retail Production,Active,CLARK
63823593017866205802,ARARAT WINE AND LIQUOR WHOLESALE INC,T094,Retail Distributor,Active,CLARK
63918266150160688897,LAS VEGAS WELLNESS AND COMPASSION LLC,C137,Retail Cultivation,Active,CLARK
64345737726226352455,LIVFREE WELLNESS LLC,RD547,Retail Dispensary,Active,CLARK
64364789010887954474,TONOPAH FARM LLC,P120,Retail Production,Active,ESMERALDA
64396246475438768402,NCMM LLC,P099,Retail Production,Active,NYE
65689461925309882262,FSWFL LLC,P086,Retail Production,Active,CLARK
65945966941949057205,VC CONSULTANTS LLC,RD229,Retail Dispensary,Active,CLARK
66506752367319977952,GRAVITAS NEVADA LTD,P013,Retail Production,Active,CLARK
66529987864286045247,VEGAS VALLEY GROWERS NORTH LLC,C007,Retail Cultivation,Active,CLARK
66617546095474151491,SILVER STATE WELLNESS LLC,P051,Retail Production,Active,CLARK
66727918448382181540,GREEN THERAPEUTICS LLC,C083,Retail Cultivation,Active,CLARK
67122044441374722164,MESA OILS LLC,P073,Retail Production,Active,CLARK
