name,dba,slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state,multiple_locations
Aeterna,Indoor Treez,aeterna,other,https://aeternacannabis.com/,,584 8th Ave,New York,NY,10018,US,,,,,OCM-MICR-24-000139,true
Aeterna,Lenox Hill Cannabis Co.,aeterna,other,https://aeternacannabis.com/,,334 East 73rd,New York,NY,10021,US,,,,,OCM-MICR-24-000139,true
Aeterna,Vereleaf Dispensary,aeterna,other,https://aeternacannabis.com/,,383 8th Ave,New York,NY,10001,US,,,,,OCM-MICR-24-000139,true
Aeterna,Herbwell (Manhattan),aeterna,other,https://aeternacannabis.com/,,519 Madison Ave.,New York,NY,10022,US,,,,,OCM-MICR-24-000139,true
Aeterna,Qube,aeterna,other,https://aeternacannabis.com/,,1412 Broadway,New York,NY,10018,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Travel Agency (Fifth Ave),aeterna,other,https://aeternacannabis.com/,,587 5th Ave,New York,NY,10017,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Alchemy,aeterna,other,https://aeternacannabis.com/,,302 8th Ave.,New York,NY,10001,US,,,,,OCM-MICR-24-000139,true
Aeterna,Culture House,aeterna,other,https://aeternacannabis.com/,,958 6th Ave,New York,NY,10001,US,,,,,OCM-MICR-24-000139,true
Aeterna,Torches,aeterna,other,https://aeternacannabis.com/,,12 E 42nd Street,New York,NY,10017,US,,,,,OCM-MICR-24-000139,true
Aeterna,Etain - NYC,aeterna,other,https://aeternacannabis.com/,,242 E 58th St,New York,NY,10022,US,,,,,OCM-MICR-24-000139,true
Aeterna,Liberty Buds,aeterna,other,https://aeternacannabis.com/,,1115 1st. Ave,New York,NY,10065,US,,,,,OCM-MICR-24-000139,true
Aeterna,Housing Works - NOMAD,aeterna,other,https://aeternacannabis.com/,,846 6th Avenue,New York,NY,10001,US,,,,,OCM-MICR-24-000139,true
Aeterna,Urban Leaf,aeterna,other,https://aeternacannabis.com/,,977 2nd Ave,New York,NY,10022,US,,,,,OCM-MICR-24-000139,true
Aeterna,New Amsterdam,aeterna,other,https://aeternacannabis.com/,,245 W 14th St,New York,NY,10011,US,,,,,OCM-MICR-24-000139,true
Aeterna,Chelsea Cannabis,aeterna,other,https://aeternacannabis.com/,,104 7th Ave,New York,NY,10011,US,,,,,OCM-MICR-24-000139,true
Aeterna,Stoops,aeterna,other,https://aeternacannabis.com/,,182 5th Ave,New York,NY,10010,US,,,,,OCM-MICR-24-000139,true
Aeterna,The Flowery (West Village),aeterna,other,https://aeternacannabis.com/,,112 Christopher St,New York,NY,10014,US,,,,,OCM-MICR-24-000139,true
Aeterna,Just A Little Higher - Murray Hill,aeterna,other,https://aeternacannabis.com/,,698 2nd Ave,New York,NY,10016,US,,,,,OCM-MICR-24-000139,true
