Data,Date,Count
New Patients Per Month,Jun 2021,3199
New Patients Per Month,Jul 2021,2697
New Patients Per Month,Aug 2021,3227
New Patients Per Month,Sep 2021,2971
New Patients Per Month,Oct 2021,2946
New Patients Per Month,Nov 2021,2875
New Patients Per Month,Dec 2021,2365
New Patients Per Month,Jan 2022,2729
New Patients Per Month,Feb 2022,2576
New Patients Per Month,Mar 2022,3530
New Patients Per Month,Apr 2022,3037
New Patients Per Month,May 2022,3144
New Patients Per Month,Jun 2022,2695
New Patients Per Month,Jul 2022,2663
New Patients Per Month,Aug 2022,3312
New Patients Per Month,Sep 2022,3091
New Patients Per Month,Oct 2022,2956
New Patients Per Month,Nov 2022,2742
New Patients Per Month,Dec 2022,2585
New Patients Per Month,Jan 2023,2918
New Patients Per Month,Feb 2023,3046
New Patients Per Month,Mar 2023,3252
New Patients Per Month,Apr 2023,3385
New Patients Per Month,May 2023,2799
New Patients Per Month,Jun 2023,2806
New Patients Per Month,Jul 2023,2526
New Patients Per Month,Aug 2023,3069
New Patients Per Month,Sep 2023,2488
New Patients Per Month,Oct 2023,2799
New Patients Per Month,Nov 2023,2564
New Patients Per Month,Dec 2023,2269
New Patients Per Month,Jan 2024,2648
New Patients Per Month,Feb 2024,2525
New Patients Per Month,Mar 2024,2886
New Patients Per Month,Apr 2024,3478
New Patients Per Month,May 2024,2768
New Patients Per Month,Jun 2024,2662
New Patients Per Month,Jul 2024,2522
New Patients Per Month,Aug 2024,3080
New Patients Per Month,Sep 2024,2595
New Patients Per Month,Oct 2024,3133
New Patients Per Month,Nov 2024,2798
New Patients Per Month,Dec 2024,2284
New Patients Per Month,Jan 2025,2854
New Patients Per Month,Feb 2025,2787
New Patients Per Month,Mar 2025,3004
New Patients Per Month,Apr 2025,3474
New Patients Per Month,May 2025,2790
New Patients Per Month,Jun 2025,2836
New Patients Per Month,Jul 2025,2757
New Patients Per Month,Aug 2025,2826
New Patients Per Month,Sep 2025,2650
New Patients Per Month,Oct 2025,2645
New Patients Per Month,Nov 2025,2912
New Patients Per Month,Dec 2025,2710
New Patients Per Month,Jan 2026,2652
New Patients Per Month,Feb 2026,2943
New Patients Per Month,Mar 2026,3226
Renewals Per Month,Jun 2020,1039
Renewals Per Month,Jul 2020,1295
Renewals Per Month,Aug 2020,1104
Renewals Per Month,Sep 2020,1406
Renewals Per Month,Oct 2020,1578
