License_Number,Business_Name,License_Type,City,State,Expiration_Date
RTLR0055,"Vermont Alter-Native, LLC",Retailer,Alburgh,VT,"Sunday, May 31, 2026"
RTLR0056,31° North Holdings LLC,Retailer,Waterbury Center,VT,"Monday, June 1, 2026"
RTLR0057,"TMM Dispensary, LLC",Retailer,Springfield,VT,"Tuesday, June 9, 2026"
RTLR0058,Devils Den Cannabis Company,Retailer,Bradford,VT,"Tuesday, June 16, 2026"
RTLR0060,"The Dank Closet Dispensary, LLC",Retailer,Barton,VT,"Sunday, July 12, 2026"
RTLR0061,Kushies LLC,Retailer,Derby,VT,"Sunday, July 19, 2026"
RTLR0062,Little City Greens,Retailer,Vergennes,VT,"Tuesday, July 21, 2026"
RTLR0063,Timeline Products LLC DBA Rimeline Dispensary,Retailer,Rawsonville / Jamaica,VT,"Friday, August 21, 2026"
RTLR0064,DP Holdings LLC DBA The Bud Stop,Retailer,Danville,VT,"Saturday, September 5, 2026"
RTLR0065,Green Mountain Cannabis Works LLC,Retailer,Manchester Center,VT,"Tuesday, September 8, 2026"
