Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
Kine Buds Maywood,113 E Passaic St,Maywood,NJ,07607,1,,,,,Recreational cannabis
Kota Canna,206 Watchung Ave,Plainfield,NJ,07060,1,,,1,,Microbusiness |\nRecreational cannabis
La Vida Gardens,523 Washington Ave,Belleville,NJ,07109,1,,,,,Recreational cannabis
Lady L Cannabis,547 West Side Ave,Jersey City,NJ,07304,1,,,1,,Microbusiness |\nRecreational cannabis
Leaf Haus,900 Easton Ave,Somerset,NJ,08873,1,,,,,Recreational cannabis
Leaf Joint,391 Central Ave,Jersey City,NJ,07307,1,,1,,,Recreational cannabis |\nOffers delivery
Legacy to Lifted,490 West Side Ave,Jersey City,NJ,07304,1,,,,,Recreational cannabis
Legal Distribution,3112 Atlantic Ave,Atlantic City,NJ,08401,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Lemon 22,2006 US-22,Scotch Plains,NJ,07076,1,,1,,,Recreational cannabis |\nOffers delivery
Loud House,112 N 3rd St,Camden,NJ,08102,1,,,1,,Microbusiness |\nRecreational cannabis
Mad Hatter Dispensary,845 US-1,Avenel,NJ,07001,1,,,,,Recreational cannabis
Main Street Dispensary,311 Raritan Ave,Highland Park,NJ,08904,1,,,,,Recreational cannabis
Mass Grown,34 Mill St,Mt Holly,NJ,08060,1,,,,,Recreational cannabis
Med Leaf,201 Philadelphia Ave,Egg Harbor City,NJ,08215,1,,,,,Recreational cannabis
Memes Danckk World,1704 John F. Kennedy Blvd,Jersey City,NJ,07305,1,,,,,Recreational cannabis
Midnight Greens,5100 NJ-42,Blackwood,NJ,08012,1,,,,,Recreational cannabis
Milligrams,813 E Gate Dr,Mt Laurel Township,NJ,08054,1,,,,,Recreational cannabis
MindLift Dispensary,517 Park Ave,Plainfield,NJ,07060,1,,,1,,Microbusiness |\nRecreational cannabis
Mister Jones,655 US-46,Little Falls Township,NJ,07424,1,,,,,Recreational cannabis
MMD NJ,655 Newark Ave,Jersey City,NJ,07306,1,,1,,,Recreational cannabis |\nOffers delivery
Moja Life,28 S Warren St,Trenton,NJ,08608,1,,,1,,Microbusiness |\nRecreational cannabis
Molly Ann Farms,256 Belmont Ave,Haledon,NJ,07508,1,,,,,Recreational cannabis
Mountain Dispensary,46 NJ-94,Vernon Township,NJ,07462,1,,1,,,Recreational cannabis |\nOffers delivery
