name,dba,slug,dba_slug,type,is_breeder,is_bank,is_cultivator,is_dispensary,is_academic,url,is_bad_url,reason_code,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,is_licensed,schema_complete,last_verified,verified_by,submitted_at,submitted_by,evidence_url
B.I.G. Seeds,,big-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.O.G. Seeds,,bog-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Seeds Co.,,b-seeds-co,,,,,,,,http://www.bseedsco.com,false,,,,,,,,,,,,,,,,,,,,
BAMA Seeds,,bama-seeds,,,,,,,,http://www.bamaseeds.com,false,,,,,,,,,,,,,,,,,,,,
BC Growers Association,,bc-growers-association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCN Seeds,,bcn-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Cannabis Co.,,bj-cannabis-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSB Genetics,,bsb-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSF Seeds,,bsf-seeds,,,,,,,,https://www.bsfseeds.com,false,,,,,,,,,,,,,,,,,,,,
BSV Genetics,,bsv-genetics,,,,,,,,https://www.blackstoneseedbank.com,false,,,,,,,,,,,,,,,,,,,,
Baby Zeus Genetics,,baby-zeus-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babylon Seeds Bank,,babylon-seeds-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BackCountryResin,,backcountryresin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backcountry Farms,,backcountry-farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Boogie,,backyard-boogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Dawg Freebies,,bad-dawg-freebies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Fish Genetics,,bad-fish-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Beans Cannabis Seeds,,baked-beans-cannabis-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Beanz,,baked-beanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Botany,,baked-botany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Monkey Seeds,,bald-monkey-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald man Lala Seeds,,bald-man-lala-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Peel Genetics,,banana-peel-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barba Seeds,,barba-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardi Green Voohoo Genetics,,bardi-green-voohoo-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barneys Farm,,barneys-farm,,,,,,,,https://barneysfarm.com,false,,,,,,,,,,,,,,,,,,,,
Basement Chuckers,,basement-chuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Seeds,,basic-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basinaudo,,basinaudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bask Triangle Farms,,bask-triangle-farms,,,,,,,,https://basktrianglefarms.com,false,,,,,,,,,,,,,,,,,,,,
Basmati Gardens,,basmati-gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Country Farms,,bat-country-farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman,,batman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Exclusives Seeds & Clones,,bay-exclusives-seeds-clones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Seeds,,bay-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayou Boys Genetics,,bayou-boys-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean Barn Seed Co,,bean-barn-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean Boyz Genetics,,bean-boyz-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean Drop Genetics,,bean-drop-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean Genie Autos,,bean-genie-autos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beanmill Genetics,,beanmill-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans2Trees,,beans2trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans By Wuzi,,beans-by-wuzi,,,,,,,,https://www.beansbywuzi.com,false,,,,,,,,,,,,,,,,,,,,
Bear Grows Genetics,,bear-grows-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedrock Genetics,,bedrock-genetics,,,,,,,,https://bedrockgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Bee's Selection,,bees-selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Nerdy,,bee-nerdy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beebop Genetics,,beebop-genetics,,,,,,,,https://beebopgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Beefcake Genetics,,beefcake-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegen's Beans,,beegens-beans,,,,,,,,https://www.beegensbeans.com,false,,,,,,,,,,,,,,,,,,,,
Beleaf Cannabis,,beleaf-cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Coast Genetics,,best-coast-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestThingGrowing,,bestthinggrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Seeds,,beta-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beuh-Chat Seeds Company,,beuh-chat-seeds-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Genetics,,beyond-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Hype Seed Co,,beyond-hype-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Top Shelf,,beyond-top-shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhang!Dog,,bhangdog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiPolarBear420,,bipolarbear420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Buddha Seeds,,big-buddha-seeds,,,,,,,,http://www.bigbuddhaseeds.com,false,,,,,,,,,,,,,,,,,,,,
Big Buddy Seeds,,big-buddy-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Chiefer Reefer,,big-chiefer-reefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dans Genetix,,big-dans-genetix,,,,,,,,http://www.bigdansgenetix.com,false,,,,,,,,,,,,,,,,,,,,
Big Dog Exotic Cannabis Seeds,,big-dog-exotic-cannabis-seeds,,,,,,,,https://bigdogexoticgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Big Head Seeds,,big-head-seeds,,,,,,,,http://www.bigheadseeds.com,false,,,,,,,,,,,,,,,,,,,,
Big Muddy Genetics,,big-muddy-genetics,,,,,,,,https://bigmuddygenetics.com,false,,,,,,,,,,,,,,,,,,,,
Big Nose Genetics,,big-nose-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sky Beans,,big-sky-beans,,,,,,,,http://bigskybeans.com,false,,,,,,,,,,,,,,,,,,,,
Big Tree Cultivars,,big-tree-cultivars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigdogs Seeds Collection,,bigdogs-seeds-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigworm Genetics,,bigworm-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Budd,,billy-budd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Seeds Co,,billy-seeds-co,,,,,,,,https://billyseedsco.com,false,,,,,,,,,,,,,,,,,,,,
Binary Selections,,binary-selections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio.dynamic Grown Cultivars,,biodynamic-grown-cultivars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio Bomb Selections,,bio-bomb-selections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioQueen Seeds,,bioqueen-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio Vortex,,bio-vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohazard Seeds,,biohazard-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird Genes,,bird-genes,,,,,,,,http://www.birdgenes.com,false,,,,,,,,,,,,,,,,,,,,
Black Army Collection,,black-army-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bear Cannabis Company,,black-bear-cannabis-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cat Seeds,,black-cat-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Diamond Genetics,,black-diamond-genetics,,,,,,,,http://black-diamond-genetics.com,false,,,,,,,,,,,,,,,,,,,,
Black Farm Genetix,,black-farm-genetix,,,,,,,,https://blackfarmgenetix.com,false,,,,,,,,,,,,,,,,,,,,
Black Flag Genetics,,black-flag-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hand Seeds,,black-hand-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Label,,black-label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Leaf,,black-leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackLeaf Genetics,,blackleaf-genetics,,,,,,,,https://blackleafgenetics.ca,false,,,,,,,,,,,,,,,,,,,,
Black River Seed co,,black-river-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sheep Genetics,,black-sheep-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Skull Seeds,,black-skull-seeds,,,,,,,,http://blackskullseeds.com,false,,,,,,,,,,,,,,,,,,,,
Black Tuna,,black-tuna,,,,,,,,http://www.blacktuna.com.co,false,,,,,,,,,,,,,,,,,,,,
Blackbird Preservations,,blackbird-preservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blasted Genetics,,blasted-genetics,,,,,,,,http://blastedgenetics.com,false,,,,,,,,,,,,,,,,,,,,
Blazed Genetics,,blazed-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blim Burn Seeds,,blim-burn-seeds,,,,,,,,http://www.blimburnseeds.com,false,,,,,,,,,,,,,,,,,,,,
Blind Rooster Seeds,,blind-rooster-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockhead Buds,,blockhead-buds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Diamond Seeds,,blood-diamond-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloom Seed Co,,bloom-seed-co,,,,,,,,https://www.bloomseeds.farm,false,,,,,,,,,,,,,,,,,,,,
BloominBuds518,,bloominbuds518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomingdale Organic,,bloomingdale-organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Blood Genetics,,blue-blood-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bloods Grow,,blue-bloods-grow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dream King,,blue-dream-king,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueHemp Switzerland,,bluehemp-switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Star Seed Co,,blue-star-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Stone Sanctuary,,blue-stone-sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
