name,slug
Coast Genetics,coast
Coastal Seed Co,coastalseed
Coldwater,coldwater
Colombia Genomic,colombiagenomic
Colorado Seed Inc.,coloradoseed
Colors by Cultivar,colorsbycultivar
Compass Genetics,compass
Compound Genetics,compound
Concrete Jungle Seeds,concretejungle
Connoisseur Genetics,connoisseur
Conscious Genetics,conscious
Control Group Genetics,controlgroup
Cookie Chris Genetics,cookiechris
Cookie Fam Genetics,cookiefam
Cool Beans Seeds,coolbeans
Coool Beans,cooolbeans
Copa Genetics,copa
Copenhagen Seed Company,copenhagenseed
CopyCat Seeds,copycat
Copycat Genetix,copycat
Corralitos seed co,corralitosseed
Cosa Seed Co,cosaseed
Cosmic Wisdom,cosmicwisdom
Costa Seeds,costa
Coulter Family Farms,coulterfamily
County Line Genetics,countyline
Covert Genetics,covert
Crab Collective,crabcollective
Craft Cannabis of Vermont,craftcannabisofvermont
Crane City Cannabis,cranecitycannabis
Crate Digger Seeds,cratedigger
Crazy Diamonds Seed Company,crazydiamondsseed
Crazy X Seeds,crazyx
Cream Crop Co.,creamcrop
Cream of the Crop Seeds,creamofthecrop
Crescendo Genetics,crescendo
Crickets and Cicada Seeds,cricketsandcicada
Critical Mass Collective,criticalmasscollective
Croatoan Seeds,croatoan
Crockett Family Farms,crockettfamily
Cronic & Caviar,croniccaviar
Cronja,cronja
Crop Circle Genetics,cropcircle
Crop King Seeds,cropking
Cryptic Labs,crypticlabs
Cult. Six16,cultsix16
Cult Classics Seeds,cultclassics
Cultivated Choice Genetics,cultivatedchoice
Cultivators Choice,cultivatorschoice
Cult of Dank,cultofdank
Curtis Crosses,curtiscrosses
D's Nuts Grow,dsnutsgrow
D+Calidad Seeds,dcalidad
DJ Short,djshort
DNA Genetics Seeds,dnagenetics
DSP Genetics,dsp
Da Bean Co.,dabean
DaHood Urban Seeds,dahoodurban
Dabbsfordads,dabbsfordads
Dampkring Seed Bank,dampkringseed
Dane Strains,danestrains
Dank Breeds,dankbreeds
Dank Flow Genetics,dankflow
Dank Genetics,dank
Dank House Seeds,dankhouse
DankHunters Seed Co,dankhuntersseed
Dankensteins Lab,dankensteinslab
Dankmatter Genetics,dankmatter
Dankonomics Genetics,dankonomics
Danky Dankster Seed Co.,dankydanksterseed
Dark Horse Genetics,darkhorse
Dark Side Genetics,darkside
Darkarts Labs,darkartslabs
Darwin Seeds,darwin
Dawg Star,dawgstar
Day 1 Genetics,day1
De Sjamaan,desjamaan
Dead By Dawn Genetics,deadbydawn
DeadRabbit Genetix,deadrabbit
Deep Ellum Seed Company,deepellumseed
Deep Space Creations,deepspacecreations
Defiant Creations,defiantcreations
Delicatessen,delicatessen
Delicious Seeds,delicious
Delta 9 Labs,delta9labs
Deluxe Seeds,deluxe
Demonic Genetics,demonic
Denverdoggy,denverdoggy
