License_Number,Business_Name,License_Type,License_Status,Street,City,State,ZIP,Expiration_Date,Home_Delivery,Disciplinary_Action,Notes,Source
PC-000080,The Fire Station Wellness Center,Provisioning Center - License,Closed,9148 N Dort HWY,Mt. Morris,MI,48458,01/08/2023,Approved,Public Documents Available,,medical
PC-000373,"Skymint, LLC",Provisioning Center - License,Closed,4405 West Pierson RD,Flint,MI,48504,10/18/2021,Approved,Public Documents Available,,medical
PC-000378,Lume Cannabis Co.,Provisioning Center - License,Closed,9899 Honor Highway,Honor,MI,49640,03/21/2022,Approved,,,medical
PC-000308,Thecalmic LLC,Provisioning Center - License,Closed,2793 Plymouth RD Suite K,Ann Arbor,MI,48105,02/03/2021,Approved,,,medical
PC-000295,Pincanna,Provisioning Center - License,Closed,786 South Cedar ST,Kalkaska,MI,49646,12/23/2023,Approved,Public Documents Available,,medical
PC-000366,Levels of Kalamazoo,Provisioning Center - License,Closed,4500 W KL AVE,Kalamazoo,MI,49006,12/23/2023,,Public Documents Available,,medical
PC-000341,"TeeBZ, LLC",Provisioning Center - License,Closed,728 E. Front ST,Traverse City,MI,49686,12/23/2020,,,,medical
PC-000340,Comco Wellness,Provisioning Center - License,Closed,11990 Pulaski RD,Hanover,MI,49241,02/21/2023,Approved,Public Documents Available,,medical
PC-000361,Harvest of Battle Creek,Provisioning Center - License,Closed,3769 W. Michigan AVE,Battle Creek,MI,49037,12/21/2020,,,,medical
PC-000356,"Quality Roots, Inc.",Provisioning Center - License,Closed,1028 East Michigan AVE,Battle Creek,MI,49014,12/18/2022,Approved,,,medical
PC-000334,Great Lakes Natural Remedies Inc,Provisioning Center - License,Closed - Suspended,1983 Benzie HWY,Benzonia,MI,49616,02/21/2023,Approved,Public Documents Available,,medical
PC-000346,"Acme Alternative Health, LLC",Provisioning Center - License,Closed,2074 M 137,Interlochen,MI,49643,12/10/2023,,,,medical
PC-000306,Shango Lapeer,Provisioning Center - License,Closed,224 E Genesee ST,Lapeer,MI,48446,12/10/2023,Approved,,,medical
PC-000365,Pinnacle Emporium,Provisioning Center - License,Closed,1098 East Main ST Suite 1 & 2,Morenci,MI,49256,12/09/2021,Approved,Public Documents Available,,medical
PC-000353,The Green Door Baldwin Inc,Provisioning Center - License,Closed,9116 South M-37,Baldwin,MI,49304,12/03/2021,Approved,Public Documents Available,,medical
PC-000355,Curaleaf,Provisioning Center - License,Closed,14501 Beadle Lake RD,Battle Creek,MI,49014,06/07/2023,Approved,Public Documents Available,,medical
PC-000187,"Verde Bueno, LLC",Provisioning Center - License,Closed,9030 N Saginaw Rd Suite 4,Mount Morris,MI,48458,02/01/2021,,,,medical
PC-000314,House of Dank 3,Provisioning Center - License,Closed,2710 Livernois AVE,Detroit,MI,48209,11/25/2023,Approved,Public Documents Available,,medical
PC-000327,Canna43,Provisioning Center - License,Closed,33760 CR 653,Gobles,MI,49055,11/20/2021,Approved,,,medical
PC-000253,The Refinery Kalamazoo,Provisioning Center - License,Closed,3650 Alvan RD,Kalamazoo,MI,49001,11/19/2022,Approved,,,medical
PC-000358,20 Past 4,Provisioning Center - License,Active,3590 Ann Arbor RD,Jackson,MI,49202,11/18/2026,Approved,Public Documents Available,,medical
PC-000302,Highwire Farms,Provisioning Center - License,Closed,840 South Main ST,Adrian,MI,49221,11/08/2022,Approved,Public Documents Available,,medical
PC-000359,Green Peak Industries LLC,Provisioning Center - License,Closed,1958 South Industrial HWY Suite A and B,Ann Arbor,MI,48104,10/18/2020,Approved,,,medical
PC-000350,Med+Leaf,Provisioning Center - License,Active,301 W Main ST,Hartford,MI,49057,11/01/2026,Approved,,,medical
PC-000300,Compassionate Care by Design,Provisioning Center - License,Closed,4126 Stadium DR,Kalamazoo,MI,49008,10/24/2021,Approved,,,medical
PC-000351,Lume Cannabis Co.,Provisioning Center - License,Closed,3406 Stadium DR,Kalamazoo,MI,49008,10/22/2023,Approved,,,medical
PC-000335,DOJA,Provisioning Center - License,Closed,4203 E Centre AVE,Portage,MI,49002,10/16/2022,Approved,Public Documents Available,,medical
PC-000347,High Level Health,Provisioning Center - License,Closed,327 S. Main ST,Vassar,MI,48768,12/07/2021,,Public Documents Available,,medical
PC-000333,The Cured Leaf,Provisioning Center - License,Closed,709 S Garfield Avenue,Traverse City,MI,49686,10/15/2023,Approved,,,medical
PC-000155,High Club Cannabis,Provisioning Center - License,Active,14325 Wyoming ST,Detroit,MI,48238,10/07/2026,Approved,Public Documents Available,,medical
PC-000312,Nature's Medicines,Provisioning Center - License,Active,5405 Cogswell Road,Wayne,MI,48184,10/18/2026,Approved,Public Documents Available,,medical
PC-000349,Green Door Alternative,Provisioning Center - License,Closed,7304 Michigan AVE,Detroit,MI,48210,10/15/2024,Approved,Public Documents Available,,medical
PC-000244,Skymint,Provisioning Center - License,Closed,11999 Cleveland ST Suite A,Nunica,MI,49448,12/01/2020,Approved,,,medical
PC-000316,Healing Hearts Holistic Center,Provisioning Center - License,Closed,20245 Van Dyke AVE,Detroit,MI,48234,10/11/2021,,,,medical
PC-000323,Sticky Bay Area LLC,Provisioning Center - License,Closed - Suspended,2245 South Huron RD,Kawkawlin,MI,48631,10/11/2024,,Public Documents Available,,medical
PC-000344,3Fifteen,Provisioning Center - License,Closed,3720 Washtenaw AVE,Ann Arbor,MI,48104,10/04/2022,Approved,,,medical
PC-000209,People's Choice,Provisioning Center - License,Closed,2247 W Liberty ST,Ann Arbor,MI,48103,10/29/2022,,,,medical
PC-000217,Releaf Center for Compassionate Care,Provisioning Center - License,Closed,1840 Terminal RD Suite A,Niles,MI,49120,10/02/2024,Approved,Public Documents Available,,medical
PC-000289,The Fire Station Cannabis Co.,Provisioning Center - License,Active,162 Heritage DR,Negaunee,MI,49866,10/01/2026,Approved,,,medical
PC-000337,High Level Health,Provisioning Center - License,Closed,45 E. Huron RD,Omer,MI,48749,12/07/2021,,Public Documents Available,,medical
PC-000304,Gage Cannabis Company,Provisioning Center - License,Closed,922 South Main ST,Adrian,MI,49221,07/30/2022,Approved,Public Documents Available,,medical
PC-000331,3 Fifteen,Provisioning Center - License,Closed,3401 Corunna RD,Flint,MI,48503,08/09/2022,Approved,Public Documents Available,,medical
PC-000150,"Uncle Buds Provisioning Center, LLC",Provisioning Center - License,Closed,11 S Huron RD,Linwood,MI,48634,09/05/2023,Approved,Public Documents Available,,medical
PC-000215,House of Dank - Lapeer,Provisioning Center - License,Closed,200 E Genesee ST Unit 1&2,Lapeer,MI,48446,09/06/2023,Approved,Public Documents Available,,medical
PC-000220,House of Dank 2,Provisioning Center - License,Closed,3394 S. Fort ST,Detroit,MI,48217,08/30/2023,Approved,Public Documents Available,,medical
PC-000219,Oz Cannabis,Provisioning Center - License,Closed,3967 N. Euclid AVE,Bay City,MI,48706,08/29/2022,Approved,Public Documents Available,,medical
PC-000264,"The CannaBar, LLC",Provisioning Center - License,Closed,293 East Columbia AVE,Battle Creek,MI,49015,08/28/2020,Approved,,,medical
PC-000262,Inhale LLC,Provisioning Center - License,Closed,15670 E. 8 Mile RD,Detroit,MI,48205,08/29/2023,Approved,,,medical
PC-000009,Green Genie Inc,Provisioning Center - License,Active,24600 W McNichols RD,Detroit,MI,48219,08/20/2026,Approved,Public Documents Available,,medical
PC-000285,Joyology of Wayne,Provisioning Center - License,Closed,38110 Michigan AVE,Wayne,MI,48184,08/28/2023,Approved,Public Documents Available,,medical
PC-000326,3Fifteen,Provisioning Center - License,Closed,12800 E. 8 Mile RD,Detroit,MI,48205,08/09/2023,Approved,Public Documents Available,,medical
PC-000322,Common Citizen,Provisioning Center - License,Closed,12604 E. Jefferson AVE,Detroit,MI,48215,08/26/2023,Approved,Public Documents Available,,medical
PC-000324,Kinship Parma,Provisioning Center - License,Closed,2199 N Concord RD,Albion,MI,49224,08/23/2021,,,,medical
PC-000299,Green Pharm Bay City,Provisioning Center - License,Closed,200 S Euclid AVE,Bay City,MI,48706,08/22/2025,Approved,Public Documents Available,,medical
PC-000060,Depot Town Cannabis Company,Provisioning Center - License,Closed,35 E Cross ST,Ypsilanti,MI,48198,08/22/2022,,Public Documents Available,,medical
PC-000137,Plan B Wellness Center LLC,Provisioning Center - License,Closed,20101 W 8 Mile RD,Detroit,MI,48219,08/19/2025,Approved,Public Documents Available,,medical
PC-000288,The Botanical CO.,Provisioning Center - License,Closed,1885 E US-23 HWY,East Tawas,MI,48730,08/16/2023,Approved,,,medical
PC-000317,Better Provisioning Center,Provisioning Center - License,Closed,5303 Portage RD,Kalamazoo,MI,49002,08/15/2022,,,,medical
PC-000201,"BDS Medical Growers, LLC",Provisioning Center - License,Closed,933 N Pontiac TRL,Walled Lake,MI,48390,08/15/2020,,Public Documents Available,,medical
PC-000292,3Fifteen,Provisioning Center - License,Closed,1525 West Michigan AVE Suite 11 & 13,Battle Creek,MI,49037,08/09/2022,Approved,,,medical
PC-000053,LIV Cannabis,Provisioning Center - License,Closed,1240 East Columbia AVE,Battle Creek,MI,49014,08/14/2023,Approved,Public Documents Available,,medical
PC-000291,3Fifteen,Provisioning Center - License,Closed,2245 West Columbia AVE Suite 119 & 120,Battle Creek,MI,49015,08/09/2022,Approved,,,medical
PC-000093,Light'N Up Provisioning & Microbuddery,Provisioning Center - License,Closed,4184 Pier North BLVD Suite A,Flint,MI,48504,08/02/2023,Approved,,,medical
PC-000071,Superior Wellness LLC,Provisioning Center - License,Closed,2617 East Michigan AVE,Lansing,MI,48912,08/02/2022,,Public Documents Available,,medical
PC-000318,"Michigan Supply and Provisions, Michigan Provisions, Ascend Cannabis Group",Provisioning Center - License,Active,1096 E Main ST Suite A,Morenci,MI,49256,07/29/2026,Approved,Public Documents Available,,medical
PC-000025,KKind,Provisioning Center - License,Closed,521 E Mosel AVE Suite A,Kalamazoo,MI,49004,07/26/2022,Approved,,,medical
PC-000283,North Coast Provisions,Provisioning Center - License,Closed,922 East Beecher ST Bldg 1,Adrian,MI,49221,07/23/2024,Approved,Public Documents Available,,medical
