(index),Business Name,Address,Type
167,'OTC Jersey',"'167 New Jersey Ave, Absecon, NJ 08201, USA'",'Recreational cannabis'
168,'Phasal',"'1100 N Black Horse Pike, Runnemede, NJ 08078, USA'",'Recreational cannabis'
169,'Phula',"'60-62 High St, Mt Holly, NJ 08060, USA'",'Recreational cannabis'
170,'Plant Base',"'148 E 2nd St, Plainfield, NJ 07060, USA'",'Recreational cannabis'
171,'Plantabis',"'2077 US-1, Rahway, NJ 07065, USA'",'Recreational cannabis'
172,'Plantopia',"'37 Main St, Englishtown, NJ 07726, USA'",'Microbusiness |\nRecreational cannabis'
173,'PPP Dispensary',"'3001 Atlantic Ave, Atlantic City, NJ 08401, USA'",'Recreational cannabis'
174,'Premo',"'2 E Front St, Keyport, NJ 07735, USA'",'Recreational cannabis |\nOffers delivery'
175,'Public Absecon',"'792a White Horse Pike, Absecon, NJ 08201, USA'",'Recreational cannabis'
176,'Puffin Store',"'382 George St, New Brunswick, NJ 08901, USA'",'Recreational cannabis |\nOffers delivery'
177,'Pure Blossom',"'2554 Pennington Rd, Pennington, NJ 08534, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
178,'Pure Natural Vibes',"'470 Prospect Ave, West Orange, NJ 07052, USA'",'Microbusiness |\nRecreational cannabis'
179,'Quality Cannabliss',"'1610 N Black Horse Pike, Blackwood, NJ 08012, USA'",'Microbusiness |\nRecreational cannabis'
180,'Quality Roots',"'850 Rte 70 W, Marlton, NJ 08053, USA'",'Recreational cannabis'
181,'Queen City Remedies',"'1353 South Ave, Plainfield, NJ 07062, USA'",'Recreational cannabis'
182,'Releaf Cannabis',"'1024 S Black Horse Pike, Williamstown, NJ 08094, USA'",'Recreational cannabis'
183,'Releaf Newton',"'78 Mill St, Newton, NJ 07860, USA'",'Recreational cannabis'
184,"""Rollin' Green""","'1011 Arctic Ave, Atlantic City, NJ 08401, USA'",'Recreational cannabis |\nOffers delivery'
185,'RushBudz Dispensary',"'77 Main St, South Bound Brook, NJ 08880, USA'",'Recreational cannabis |\nOffers delivery'
186,'Ruuted',"'14 Main St, Englishtown, NJ 07726, USA'",'Recreational cannabis |\nOffers delivery'
187,'Salt Air Botanicals',"'1127 Arctic Ave, Atlantic City, NJ 08401, USA'",'Microbusiness |\nRecreational cannabis'
188,'Scarlet Reserve Room',"'5 Hamilton Rd, Englishtown, NJ 07726, USA'",'Recreational cannabis |\nOffers delivery'
189,'Sea & Leaf',"'3860 Bayshore Rd, North Cape May, NJ 08204, USA'",'Recreational cannabis'
190,"""Shipwreck'd""","'300 W Sylvania Ave, Neptune City, NJ 07753, USA'",'Recreational cannabis'
191,'Shore House Canna',"'124 Sunset Blvd, Cape May, NJ 08204, USA'",'Recreational cannabis |\nOffers delivery'
192,'Simply Pure Trenton',"'1531 N Olden Ave, Ewing Township, NJ 08638, USA'",'Recreational cannabis'
193,'Sky Cannabis',"'52 E Broad St unit 9, Hopewell, NJ 08525, USA'",'Recreational cannabis'
194,'Social Dispensary',"'614 N Pearl St, Bridgeton, NJ 08302, USA'",'Microbusiness |\nRecreational cannabis'
195,'Somerset Green',"'729 Somerset St, Somerset, NJ 08873, USA'",'Recreational cannabis'
196,'Soulflora',"'2713 NJ-23, Newfoundland, NJ 07435, USA'",'Recreational cannabis |\nOffers delivery'
197,'Sparkology',"'3231 NJ-27, Franklin Park, NJ 08823, USA'",'Recreational cannabis'
198,'Spot 23 LLC',"'2915 NJ-23, Newfoundland, NJ 07435, USA'",'Microbusiness |\nRecreational cannabis'
199,'Springfield Ave Dispensary',"'1070 Springfield Ave, Irvington, NJ 07111, USA'",'Recreational cannabis'
200,'Story Dispensary of Springfield',"'130 US-22, Springfield, NJ 07081, USA'",'Recreational cannabis'
201,'SunnyTien',"'3004 Atlantic Ave, Atlantic City, NJ 08401, USA'",'Recreational cannabis |\nOffers delivery |\nCannabis Consumption Area'
202,'Sussex Pharms',"'54 Main St, Sussex, NJ 07461, USA'",'Microbusiness |\nRecreational cannabis'
203,"""Sweet Leaf's LLC""","'21 S Tennessee Ave, Atlantic City, NJ 08401, USA'",'Recreational cannabis'
204,'Sweetspot Dispensary Maplewood',"'751 Irvington Ave, Maplewood, NJ 07040, USA'",'Recreational cannabis'
205,'Sweetspot River Edge',"'75 Rte 4, River Edge, NJ 07661, USA'",'Recreational cannabis'
206,'Taste of Earth',"'108 Wheat Rd, Buena, NJ 08310, USA'",'Microbusiness |\nRecreational cannabis'
207,'The Cannabis Place',"'1544 John F. Kennedy Blvd, Jersey City, NJ 07305, USA'",'Recreational cannabis |\nOffers delivery'
208,'The Dispensary of Saddle Brook',"'225 US-46, Saddle Brook, NJ 07663, USA'",'Recreational cannabis'
209,'The Frosted Nug at Red Bank',"'22 Bridge Ave, Red Bank, NJ 07701, USA'",'Recreational cannabis'
210,'The G Factory - Recreational Dispensary',"'1848 White Horse Pike, Camden, NJ 08103, USA'",'Recreational cannabis'
211,"'The Goods Supply Co. Victory Gardens, LLC'","'330 S Salem St, Dover, NJ 07801, USA'",'Recreational cannabis'
212,'The Green Initiative',"'1062 Mantua Pike, Wenonah, NJ 08090, USA'",'Recreational cannabis'
213,'The Healing Side',"'2415 Pacific Ave, Atlantic City, NJ 08401, USA'",'Microbusiness |\nRecreational cannabis'
214,'The Honorable Plant',"'123 Bay Ave, Highlands, NJ 07732, USA'",'Recreational cannabis |\nOffers delivery'
215,'The Jersey Joint Dispensary',"'7-11 State St, Glassboro, NJ 08028, USA'",'Recreational cannabis'
216,'The Leaf and Seed Dispensary',"'328 White Horse Pike Unit L, Clementon, NJ 08021, USA'",'Microbusiness |\nRecreational cannabis'
217,'The Library of New Jersey',"'1-3 Washington St, West Orange, NJ 07052, USA'",'Microbusiness |\nRecreational cannabis'
218,'The Medicine Woman',"'660 Tonnelle Ave, Jersey City, NJ 07307, USA'",'Recreational cannabis |\nOffers delivery'
219,'The Other Side Dispensary',"'36 Congress St, Jersey City, NJ 07307, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
220,'The Retreat - Jersey City Dispensary',"'656 Grand St, Jersey City, NJ 07304, USA'",'Recreational cannabis'
221,'The Social Leaf',"'334 Atlantic City Blvd, Toms River, NJ 08757, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
222,'The Station Dispensary',"'201 Wright St, Newark, NJ 07114, USA'",'Microbusiness |\nRecreational cannabis'
223,'The THC Shop',"'1740 Atlantic Ave, Atlantic City, NJ 08401, USA'",'Microbusiness |\nRecreational cannabis'
224,'The Wildflower Market',"'1810 Wayside Rd suite a, Eatontown, NJ 07724, USA'",'Microbusiness |\nRecreational cannabis'
225,'Timber 5',"'695 Hamilton St, Somerset, NJ 08873, USA'",'Microbusiness |\nRecreational cannabis'
226,'Township Green',"'15-17 E Scott St, Riverside, NJ 08075, USA'",'Microbusiness |\nRecreational cannabis'
227,'Tree House Co-Op Dispensary',"'326 NJ-73, Voorhees Township, NJ 08043, USA'",'Microbusiness |\nRecreational cannabis'
228,'Treeotics',"'467 Lyons Ave, Newark, NJ 07112, USA'",'Microbusiness |\nRecreational cannabis'
229,'Twisted Hat Cannabis',"'515 Shell Rd, Carneys Point, NJ 08069, USA'",'Microbusiness |\nRecreational cannabis'
230,'Uforia Dispensary',"'138 Griffith St, Jersey City, NJ 07307, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
231,'Uma Flowers',"'100 Ridgedale Ave, Morristown, NJ 07960, USA'",'Microbusiness |\nRecreational cannabis'
232,'Union Chill',"'204 N Union St, Lambertville, NJ 08530, USA'",'Recreational cannabis'
233,'Unity Rd. Cannabis Shop',"'441 Elizabeth Ave, Somerset, NJ 08873, USA'",'Recreational cannabis'
234,'Urge',"'941 Elizabeth Ave, Elizabeth, NJ 07201, USA'",'Microbusiness |\nRecreational cannabis |\nOffers delivery'
235,'Vigor Dispensary',"'1082 NJ-34, Matawan, NJ 07747, USA'",'Recreational cannabis'
236,'Village Hoboken',"'516 Washington St, Hoboken, NJ 07030, USA'",'Recreational cannabis |\nOffers delivery'
237,'Voltaire NJ',"'47 Mill St, Mt Holly, NJ 08060, USA'",'Recreational cannabis'
238,'West Orange Wellness',"'26 S Valley Rd, West Orange, NJ 07052, USA'",'Recreational cannabis'
239,'Woodbury Wellness',"'818 N Broad St, Woodbury, NJ 08096, USA'",'Recreational cannabis'
240,'Xena NJ',"'759a Bergen Ave, Jersey City, NJ 07305, USA'",'Recreational cannabis'
241,'Zacate',"'Millside Shopping Center II, 4037 US-130, Delran, NJ 08075, USA'",'Recreational cannabis'
