"Establishment Type","Name","License Number","License Type","Priority/Expedited Status","Location","Related Documents"
"Adult-Use","Holyoke Smokes Corp","MD1284","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","81-85 Sargeant St. Holyoke, MA 01040",""
"Adult-Use","HIE Holding Group, LLC","MR284228","Marijuana Retailer","General Applicant","251 Russell St. Hadley, MA 01035",""
"Adult-Use","Ignited Culture, Inc.","MR284438","Marijuana Retailer","General Applicant","610 GAR Highway Swansea, MA 02777",""
"Adult-Use","Green Adventure LLC","MR284489","Marijuana Retailer","General Applicant","14 West Street Ware, MA 01082",""
"Adult-Use","CastleLeaf, LLC","MR284521","Marijuana Retailer","General Applicant","100 Leo M. Birmingham Parkway Boston, MA 02135",""
"Adult-Use","Gan Or LLC","MD1292","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","60 Damon Rd. Northampton, MA 01060",""
"Adult-Use","SQ Causeway","DO100127","Marijuana Courier","Expedited Review - Social Equity Participant","731 Main St. Clinton, MA 01510",""
"Adult-Use","Natural Agricultural Products, LLC","MR284177","Marijuana Retailer","General Applicant","1437 Bedford Street Abington, MA 02351",""
"Adult-Use","Pioneer Valley Trading Company, Inc.","MR284022","Marijuana Retailer","Expedited Review - DBE Status","475 Southampton Road Westfield, MA 01085",""
"Adult-Use","Zyp Run, Inc.","MD1260","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","1170 Morrissey Blvd Boston, MA 02122",""
"Adult-Use","BTE INC","MC283668","Marijuana Cultivator","Expedited Review - License Type","129 Grant St Plainfield, MA 01070",""
"Adult-Use","BLUE SKY ORGANICS LLC","MD1264","Marijuana Delivery Operator","Expedited Review - Two or More","16 Maguire Court Newton, MA 02458",""
"Adult-Use","Cadella LLC","MR284556","Marijuana Retailer","General Applicant","715 Washington St. Quincy, MA 02169",""
"Adult-Use","Uma Flowers Lunenburg LLC","MR284518","Marijuana Retailer","Expedited Review - DBE Status","43 Summer st Lunenburg, MA 01462",""
"Adult-Use","J-B.A.M., Inc","MP282172","Marijuana Product Manufacturer","General Applicant","71 Downing Parkway Building A Pittsfield, MA 02101",""
"Adult-Use","TSC Operations, LLC","MP282173","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","44 Industrial Drive Uxbridge, MA 01569",""
"Adult-Use","Green Flash Delivery LLC","MD1298","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","225 Southampton Street Boston, MA 02118",""
"Adult-Use","Leaf Joy, LLC","MR284606","Marijuana Retailer","General Applicant","1 Main Road Gill, MA 01354",""
"Adult-Use","High Street Cannabis Group LLC","MR284602","Marijuana Retailer","Expedited Review - Social Equity Participant","200 High Street Boston, MA 02110",""
"Adult-Use","SOCIAL-J LLC","DO100155","Marijuana Courier","Expedited Review - Social Equity Participant","2A Conz St Northampton, MA 01060",""
"Adult-Use","Rockland Old Exit 14, Inc.","MR284580","Marijuana Retailer","General Applicant","1015 Hingham St. Rockland, MA 02370",""
"Medical","Grass Appeal LLC","RMD3770","Medical Marijuana Cultivator","General Applicant","79 River Road Uxbridge, MA 01569",""
"Medical","Grass Appeal LLC","RMD3770","Medical Marijuana Product Manufacturer","General Applicant","79 River Road Uxbridge, MA 01569",""
"Medical","Grass Appeal LLC","RMD3770","Medical Marijuana Retailer","General Applicant","79 River Road Uxbridge, MA 01569",""
"Adult-Use","Ahava, LLC","MC283670","Marijuana Cultivator","Expedited Review - DBE Status","333 N. Canal Street Holyoke, MA 01040",""
"Adult-Use","Ahava, LLC","MP282159","Marijuana Product Manufacturer","Expedited Review - DBE Status","333 N. Canal Street Holyoke, MA 01040",""
"Adult-Use","220 ONEIL LLC","MR284345","Marijuana Retailer","General Applicant","220 O'NEIL BOULEVARD Attleboro, MA 02703",""
"Adult-Use","Silver Therapeutics of Palmer, Inc.","MR284328","Marijuana Retailer","General Applicant","1235 Thorndike Street Palmer, MA 01069",""
"Adult-Use","New England Regional Dispensary","MR284607","Marijuana Retailer","General Applicant","34 Cross Road Clarksburg, MA 01247",""
"Adult-Use","Delivered Inc","MD1303","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","75 Green St Suite 4 Clinton, MA 01510",""
"Adult-Use","Cannabis of Worcester LLC","MR284603","Marijuana Retailer","General Applicant","56 Millbrook Street Worcester, MA 01606",""
"Adult-Use","Seaside Joint Ventures Inc","MR284549","Marijuana Retailer","Expedited Review - Social Equity Participant","14 Lots Hollow Orleans, MA 02653",""
"Adult-Use","Kur Retailers, LLC","MR284652","Marijuana Retailer","General Applicant","461 Boston Road / SS Boston Road Springfield, MA 01109",""
"Adult-Use","Himalayan High","MR284668","Marijuana Retailer","General Applicant","2727 Jacobs Ladder Rd Becket, MA 01223",""
"Adult-Use","Pineapple Express, LLC","MD1306","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","124 C West Street Ware, MA 01082",""
"Adult-Use","Tradesman Exchange LLC","MD1316","Marijuana Delivery Operator","Priority Review - Economic Empowerment Priority","800 Falmouth Road Mashpee, MA 02649",""
"Adult-Use","Green Adventure LLC","MR284710","Marijuana Retailer","General Applicant","1240 Park Street Palmer, MA 01069",""
"Adult-Use","Berkshire Kind Inc.","MP282222","Marijuana Product Manufacturer","General Applicant","343 Pecks Road Pittsfield, MA 01201",""
"Adult-Use","OGeez Brands MA LLC","MP282203","Marijuana Product Manufacturer","Expedited Review - Social Equity Participant","6 Charlesview Rd Suite 1 Hopedale, MA 01747",""
"Adult-Use","UC Retail, LLC","MR284774","Marijuana Retailer","General Applicant","476 Main Street Bolton, MA 01740",""
"Adult-Use","Safe-Lyfe LLC","DO100173","Marijuana Courier","Expedited Review - Social Equity Participant","90 Conz St. #219J Northampton, MA 01060",""
"Medical","JOLO CAN LLC dba Harbor House Collective","RMD3737","Medical Marijuana Cultivator","General Applicant","80 Eastern Avenue Chelsea, MA 02150",""
"Medical","JOLO CAN LLC dba Harbor House Collective","RMD3737","Medical Marijuana Product Manufacturer","General Applicant","80 Eastern Avenue Chelsea, MA 02150",""
"Medical","JOLO CAN LLC dba Harbor House Collective","RMD3737","Medical Marijuana Retailer","General Applicant","80 Eastern Avenue Chelsea, MA 02150",""
"Adult-Use","Lunar Xtracts, Inc.","MP282247","Marijuana Product Manufacturer","General Applicant","144 West Britannia Street Unit 5B Taunton, MA 02780",""
"Adult-Use","CATAHOULA CANNABIS LLC","MR284693","Marijuana Retailer","General Applicant","160 Hartwell St. Fall River, MA 02721",""
"Adult-Use","Holland Brands SB, LLC","MR284733","Marijuana Retailer","General Applicant","115 K Street 538-550 East First Street Boston, MA 02127",""
"Adult-Use","Dris Corporation","MD1321","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","16 Tech Circle Suite 202 Natick, MA 01760",""
"Adult-Use","Euphorium LLC","MR284560","Marijuana Retailer","General Applicant","15 Main St Holyoke, MA 01040",""
"Adult-Use","Hoop City Ventures, LLC","MR284806","Marijuana Retailer","General Applicant","399 Boston Road W Monson, MA 01057",""
"Adult-Use","Burn Bright LLC","MC283849","Marijuana Cultivator","General Applicant","1 Cabot Street Unit #8 Holyoke, MA 01040",""
"Adult-Use","Eagles Landed LLC","MP282259","Marijuana Product Manufacturer","General Applicant","121 1/2 Wells St Greenfield, MA 01301",""
"Adult-Use","ON ROOT, LLC","MD1301","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","82 Sanderson Avenue Suite 122B Lynn, MA 01902",""
"Adult-Use","ON ROOT, LLC","DO100179","Marijuana Courier","Expedited Review - Social Equity Participant","82 Sanderson Avenue Suite 122B Lynn, MA 01902",""
"Adult-Use","Cannabis Connection II, Inc","MR284816","Marijuana Retailer","General Applicant","1102 Riverdale St Unit 2 West Springfield, MA 01089",""
"Adult-Use","Gas Bus LLC","MD1320","Marijuana Delivery Operator","Expedited Review - Social Equity Participant","321 West Grove St Floor 2 Unit 6 Middleborough, MA 02346",""
"Adult-Use","Uma Flowers Waltham LLC","MR284983","Marijuana Retailer","Expedited Review - DBE Status","196 Bear Hill Road Waltham, MA 02451",""
"Adult-Use","Yellow House Cannabis LLC","MR284969","Marijuana Retailer","Expedited Review - DBE Status","405-409 Middlesex Road Tyngsborough, MA 01879",""
"Adult-Use","Cloud 9 Cannabis LLC","MR285037","Marijuana Retailer","General Applicant","15 Liberty St. Quincy, MA 02169",""
"Adult-Use","Haze of Grafton, LLC","MP282215","Marijuana Product Manufacturer","General Applicant","135 Westboro rd Grafton, MA 01536",""
"Adult-Use","Surf's Up Cannabis Ventures LLC","MR285057","Marijuana Retailer","General Applicant","770 Gallivan Boulevard Boston, MA 02122",""
"Adult-Use","Chill & Bliss II, LLC","MR285090","Marijuana Retailer","Expedited Review - DBE Status","503 Quincy Avenue Quincy, MA 02169",""
"Medical","Native Sun Wellness, Inc.","RMD4128","Medical Marijuana Cultivator","General Applicant","140 Industrial Rd Fitchburg, MA 01420",""
"Medical","Native Sun Wellness, Inc.","RMD4128","Medical Marijuana Retailer","General Applicant","37 Coolidge Street Hudson, MA 01749",""
"Medical","Native Sun Wellness, Inc.","RMD4128","Medical Marijuana Product Manufacturer","General Applicant","140 Industrial Rd Fitchburg, MA 01420",""
"Adult-Use","Altai Alternative Care, Inc.","MR285075","Marijuana Retailer","Expedited Review - Social Equity Participant","267 Amherst Road Suite 2 Sunderland, MA 01375",""
"Adult-Use","New England Regional Dispensary, LLC","MR285281","Marijuana Retailer","General Applicant","401 Curran Highway North Adams, MA 01247",""

