"Establishment Type","Name","License Number","License Type","Priority/Expedited Status","Location","Related Documents"
"Adult-Use","New Leaf Enterprises, Inc.","MR283204","Marijuana Retailer","Expedited Review - Social Equity Participant","2629 South Main Street Fall River, MA 02721",""
"Adult-Use","High Hopes LLC","MR282161","Marijuana Retailer","General Applicant","1 Menfi Way, Unit 9 Hopedale, MA 01747",""
"Adult-Use","Local Roots NE Inc.","MR283231","Marijuana Retailer","General Applicant","365 Main St Sturbridge, MA 01566",""
"Adult-Use","KRD Growers, LLC","MR282670","Marijuana Retailer","General Applicant","89 Parker Street Clinton, MA 01510",""
"Adult-Use","Grow One Inc.","MC282527","Marijuana Cultivator","General Applicant","60 Dix Streeet Lowell, MA 01852",""
"Adult-Use","BKPN LLC","MR282853","Marijuana Retailer","General Applicant","1274 Merrimack Street Dracut, MA 01826",""
"Adult-Use","Western Front, LLC","MR283179","Marijuana Retailer","General Applicant","567-569 Massachusetts Ave. Cambridge, MA 02139",""
"Adult-Use","ProVerde Laboratories, Inc.","IL281279","Independent Testing Laboratory","Expedited Review - License Type","420 Fortune Blvd. Milford, MA 01757",""
"Adult-Use","Holland Brands NA, LLC","MR283288","Marijuana Retailer","General Applicant","1320 South Washington Street North Attleborough, MA 02760",""
"Adult-Use","Massbiolytics Corp","IL281290","Independent Testing Laboratory","Expedited Review - License Type","20 Commercial Dr, Ste 2001 Dracut, MA 01826",""
"Adult-Use","The Blue Jay Botanicals, Inc.","MR282243","Marijuana Retailer","General Applicant","22 Chestnut Hill Avenue Athol, MA 01331",""
"Adult-Use","Evergreen Strategies, LLC.","MR283100","Marijuana Retailer","General Applicant","20 George Hannum Street Suite B Belchertown, MA 01007",""
"Adult-Use","Patient Centric of Martha's Vineyard, Ltd.","MR283035","Marijuana Retailer","General Applicant","15 Mechanics St Tisbury, MA 02568",""
"Adult-Use","J&L Enterprises, Inc.","MC282392","Marijuana Cultivator","General Applicant","104 GOVERNOR DUKAKIS DRIVE Orange, MA 01364",""
"Adult-Use","Caroline's Cannabis, LLC","MR283694","Marijuana Retailer","Expedited Review - Social Equity Participant","4 Charlesview Road Hopedale, MA 01747",""
"Adult-Use","Tree Market Lynn LLC","MR282587","Marijuana Retailer","General Applicant","100 Ford Street Lynn, MA 01904",""
"Adult-Use","Cosmopolitan Dispensary, Inc.","MR282961","Marijuana Retailer","General Applicant","82 Hartwell Street Fall River, MA 02720",""
"Adult-Use","dba EMJ LLC","MC282135","Marijuana Cultivator","General Applicant","205 W Cummington Rd Cummington, MA 01026",""
"Adult-Use","Mainely Productions LLC","MC281899","Marijuana Cultivator","General Applicant","660 Douglas Street Suite 600 Uxbridge, MA 01569",""
"Adult-Use","Community Care Collective, Inc.","MR283742","Marijuana Retailer","General Applicant","537 Great Road Littleton, MA 01460",""
"Adult-Use","Green Era LLC","MR282001","Marijuana Retailer","General Applicant","143-145 Water St Fitchburg, MA 01420",""
"Adult-Use","Green Era LLC","MR282902","Marijuana Retailer","General Applicant","25 Cape Rd Mendon, MA 01756",""
"Adult-Use","253 Organic, LLC","MR282975","Marijuana Retailer","General Applicant","328 College Street Amherst, MA 01002",""
"Adult-Use","LMCC, LLC","MR282885","Marijuana Retailer","Expedited Review - Social Equity Participant","128 Myricks Street Berkley, MA 02779",""
"Adult-Use","Riverside Agriculture, LLC","MR283237","Marijuana Retailer","General Applicant","1 Cabot Street Holyoke, MA 01040",""
"Adult-Use","BB Botanics LLC","MR282084","Marijuana Retailer","General Applicant","242 John Wise Avenue Essex, MA 01929",""
"Adult-Use","MMM Transport, Inc.","MT281556","Third Party Marijuana Transporter","Expedited Review - DBE Status","376 Easthampton Road Northampton, MA 01060",""
"Adult-Use","Major Bloom, LLC","MP281879","Marijuana Product Manufacturer","Priority Review - Economic Empowerment Priority","76 Millbury Street Worcester, MA 01610",""
"Adult-Use","Reverie 73 Beverly, LLC","MR282952","Marijuana Retailer","General Applicant","350-354 Rantoul Street Beverly, MA 01915",""
"Adult-Use","Reverie 73 Gloucester, LLC","MR282315","Marijuana Retailer","General Applicant","73 Essex Ave Gloucester, MA 01930",""
"Adult-Use","Regenerative LLC","MC282958","Marijuana Cultivator","Expedited Review - License Type","30 Noonan Way (formerly known as 1035 Quaker Hwy) Uxbridge, MA 01569",""
"Adult-Use","15 Arch, LLC","MC281903","Marijuana Cultivator","General Applicant","15 Arch Street Greenfield, MA 01301",""
"Adult-Use","LMCC, LLC","MR282796","Marijuana Retailer","Expedited Review - Social Equity Participant","83 County Street Taunton, MA 02780",""
"Adult-Use","Uma Flowers LLC","MR283143","Marijuana Retailer","Expedited Review - DBE Status","2 Tarbell Street Pepperell, MA 01463",""
"Adult-Use","Flagship Investments Corp","MR283141","Marijuana Retailer","General Applicant","40 Forest Street Attleboro, MA 02703",""
"Adult-Use","DMA Holdings (MA), LLC","MR283264","Marijuana Retailer","General Applicant","35 Chase Avenue Dudley, MA 01571",""
"Adult-Use","Mill Town Agriculture, LLC","MP281832","Marijuana Product Manufacturer","General Applicant","1 Cabot Street Holyoke, MA 01040",""
"Adult-Use","Coastal Cultivars, Inc.","MP281764","Marijuana Product Manufacturer","General Applicant","23 Patterson Brook Road Wareham, MA 02576",""
"Adult-Use","Mayflower Medicinals, Inc.","MC282690","Marijuana Cultivator","Priority Review - MTC Priority","1100 Innovation Way FKA Lot 183 Fall River, MA 02722",""
"Adult-Use","Mellow Fellows LLC","MR281811","Marijuana Retailer","General Applicant","330 Amesbury Road Haverhill, MA 01830",""
"Adult-Use","ACK Natural, LLC","MR282038","Marijuana Retailer","General Applicant","17-19 Spearhead Drive Nantucket, MA 02554",""
"Adult-Use","Essex Apothecary, Inc.","MR283192","Marijuana Retailer","Expedited Review - DBE Status","233 Western Avenue Lynn, MA 01904",""
"Adult-Use","Twisted Growers LLC","MC281714","Marijuana Cultivator","General Applicant","415 Millennium Circle Lakeville, MA 02347",""
"Adult-Use","Atlantic Medicinal Partners, Inc.","MR282476","Marijuana Retailer","Priority Review - MTC Priority","4 Main Street Brockton, MA 02301",""
"Adult-Use","Humboldt Masters LLC","MP281467","Marijuana Product Manufacturer","General Applicant","215 Shrewsbury Street West Boylston, MA 01583",""
"Adult-Use","Agricultural Healing, Inc.","MP281769","Marijuana Product Manufacturer","General Applicant","1 Lewiston Street Fall River, MA 02721",""
"Adult-Use","Agricultural Healing, Inc.","MR283027","Marijuana Retailer","General Applicant","1 Lewiston Street Fall River, MA 02721",""
"Adult-Use","Z&T Inc","MR283213","Marijuana Retailer","Expedited Review - DBE Status","93 Davis Street Douglas, MA 01516",""
"Adult-Use","1Connection LLC","MR282401","Marijuana Retailer","General Applicant","200 Williams Street Dighton, MA 02764",""
"Adult-Use","Olde World Remedies, Inc.","MR282742","Marijuana Retailer","Priority Review - MTC Priority","953 Western Avenue Lynn, MA 01901",""
"Adult-Use","Noble Manna Inc.","MR282984","Marijuana Retailer","Expedited Review - DBE Status","47 Milford Street Mendon, MA 01756",""
"Adult-Use","The Fresh Connection Boston LLC","MC281442","Marijuana Cultivator","General Applicant","175-195 Kimball street Fitchburg, MA 01420",""
"Adult-Use","Dris Corporation","DO100108","Marijuana Courier","Expedited Review - Two or More","16 Tech Circle Suite 202 Natick, MA 01760",""
"Adult-Use","Regenerative LLC","MP281966","Marijuana Product Manufacturer","General Applicant","30 Noonan Way (formerly known as 1035 Quaker Hwy) Uxbridge, MA 01569",""
"Adult-Use","Revolutionary Clinics II, Inc.","MR282412","Marijuana Retailer","Priority Review - MTC Priority","67 Broadway Somerville, MA 02145",""
"Adult-Use","4bros Inc","MR281550","Marijuana Retailer","General Applicant","630 Beaulieu Street Holyoke, MA 01040",""
"Adult-Use","Turnbuckle Consulting Inc.","MR281951","Marijuana Retailer","General Applicant","239 West St Pittsfield, MA 01201",""
"Adult-Use","Calverde Naturals, LLC","MR283258","Marijuana Retailer","Expedited Review - DBE Status","1010 Pleasant Street Belmont, MA 02478",""
"Adult-Use","YouCanBeCo LLC","MP281844","Marijuana Product Manufacturer","Expedited Review - DBE Status","3065 Cranberry Highway B29, C21 Wareham, MA 02538",""
"Adult-Use","Discern'd Cannabis Purveyors, Inc.","MR283997","Marijuana Retailer","Expedited Review - DBE Status","130 Worcester Street Grafton, MA 01519",""
"Adult-Use","SOLAR RETAIL NORTON, LLC. DBA CANA CRAFT CANNABIS","MR283896","Marijuana Retailer","General Applicant","242 MANSFIELD AVENUE Norton, MA 02766",""
"Adult-Use","Diem Orange LLC","MP281684","Marijuana Product Manufacturer","General Applicant","207 Daniel Shays Highway Orange, MA 01634",""
"Adult-Use","R and R Ventures LLC","MB281504","Marijuana Microbusiness","Expedited Review - License Type","700 South Main Street PO Box 698 Sheffield, MA 01257",""
"Adult-Use","Debilitating Medical Condition Treatment Centers","MC283056","Marijuana Cultivator","Priority Review - MTC Priority","7 River Rd Whately, MA 01093",""
"Adult-Use","Home Grown 617 LLC","MR281626","Marijuana Retailer","Priority Review - Economic Empowerment Priority","580 Massachusetts Ave Cambridge, MA 02139",""
"Adult-Use","Morning Dew, LLC","MB282152","Marijuana Microbusiness","Expedited Review - Two or More","47 Daniel Shays Highway Orange, MA 01364",""
"Adult-Use","Great Barrington Retail, Inc.","MR282884","Marijuana Retailer","Expedited Review - DBE Status","454 Main Street Great Barrington, MA 01230",""
"Adult-Use","Paper Crane Provisions, LLC","MC283300","Marijuana Cultivator","Expedited Review - Social Equity Participant","56 Gardner Rd Suite D Hubbardston, MA 01452",""
"Adult-Use","Alexsofia LLC","MR282926","Marijuana Retailer","General Applicant","41 Strong Ave. Northampton, MA 01060",""
"Adult-Use","Thrive Cultivation & Dispensary, LLC","MR283714","Marijuana Retailer","General Applicant","114 Lancaster Road (FKA 130 Lancaster Road) Shirley, MA 01464",""
"Adult-Use","The Corner Emporium LLC.","MR281408","Marijuana Retailer","Priority Review - Economic Empowerment Priority","40 Jackson Street Suite 420 Worcester, MA 01608",""
"Adult-Use","River Valley Growers Inc","MC283296","Marijuana Cultivator","Expedited Review - License Type","586 Main Street Hatfield, MA 01038",""
"Adult-Use","Advesa MA, Inc.","MR281454","Marijuana Retailer","Priority Review - Economic Empowerment Priority","690 Broadway Somerville, MA 02144",""
"Adult-Use","Royal Sun Farm LLC","MC282001","Marijuana Cultivator","Expedited Review - Social Equity Participant","69 Gardner Rd Hubbardston, MA 01452",""
"Adult-Use","East Boston Bloom, LLC","MR283011","Marijuana Retailer","Expedited Review - DBE Status","71 Maverick Square Boston, MA 02128",""
"Adult-Use","DayDreamz Estates LLC","MC283417","Marijuana Cultivator","Expedited Review - License Type","68 Sandisfield Road Sandisfield, MA 01255",""
"Adult-Use","Nuestra, LLC","MR281469","Marijuana Retailer","Priority Review - Economic Empowerment Priority","200 Monsignor O'Brien Highway Cambridge, MA 02141",""
"Adult-Use","Nuestra, LLC","MR283974","Marijuana Retailer","Priority Review - Economic Empowerment Priority","518 Somerville Ave Somerville, MA 02143",""
"Adult-Use","Mayflower Medicinals, Inc.","MP281858","Marijuana Product Manufacturer","Priority Review - MTC Priority","1100 Innovation Way FKA Lot 183 Fall River, MA 02722",""
"Adult-Use","Smithers AMS LLC","IL281355","Independent Testing Laboratory","Expedited Review - License Type","790 Main Street Wareham, MA 02571",""
"Adult-Use","Toy Town Project, LLC","MR281782","Marijuana Retailer","General Applicant","463 Maple St Winchendon, MA 01475",""
"Adult-Use","High Five Inc.","MP281787","Marijuana Product Manufacturer","General Applicant","19 Wemelco Way Easthampton, MA 01027",""
"Adult-Use","Berkshire Welco Cultivation, LLC","MC283155","Marijuana Cultivator","Expedited Review - License Type","1375 North Main Street Sheffield, MA 01257",""
"Adult-Use","Berkshire Welco Lab & Manufacturing, LLC","MP282043","Marijuana Product Manufacturer","General Applicant","34 Home Road Sheffield, MA 01257",""
"Adult-Use","Mint Retail Facilities LLC","MR283295","Marijuana Retailer","General Applicant","768 Pleasant Street Belmont, MA 02478",""
"Adult-Use","Charles River Remedies LLC","MR283511","Marijuana Retailer","Priority Review - Economic Empowerment Priority","31 Church Street Cambridge, MA 02138",""
"Adult-Use","Sira Naturals, Inc.","MR282672","Marijuana Retailer","Priority Review - MTC Priority","240 Elm Street Somerville, MA 02144",""
"Adult-Use","Comm Ave Canna, Inc.","MR282314","Marijuana Retailer","General Applicant","1030 Commonwealth Ave Second Floor Brookline, MA 02215",""
"Adult-Use","Standard Naturals, LLC","MR282696","Marijuana Retailer","General Applicant","7 Linehurst Road Malden, MA 02148",""
"Adult-Use","JimBuddys Rec Shop, Inc.","MR281301","Marijuana Retailer","Expedited Review - Social Equity Participant","1269 Memorial Drive Chicopee, MA 01020",""
"Adult-Use","Mayflower Medicinals, Inc.","MR282682","Marijuana Retailer","Priority Review - MTC Priority","230 Harvard Avenue Boston, MA 02134",""
"Adult-Use","Commonwealth Alternative Care, Inc.","MC281917","Marijuana Cultivator","Priority Review - MTC Priority","30 Mozzone Boulevard Taunton, MA 02780",""
"Adult-Use","Commonwealth Alternative Care, Inc.","MP281583","Marijuana Product Manufacturer","Priority Review - MTC Priority","30 Mozzone Boulevard Taunton, MA 02780",""
"Adult-Use","Commonwealth Alternative Care, Inc.","MR282337","Marijuana Retailer","Priority Review - MTC Priority","30 Mozzone Boulevard Taunton, MA 02780",""
"Adult-Use","Misty Mountain Shop, LLC","MR282634","Marijuana Retailer","General Applicant","323 Commercial Street Malden, MA 02148",""
"Adult-Use","Humboldt Masters LLC","MC282102","Marijuana Cultivator","General Applicant","215 Shrewsbury Street West Boylston, MA 01583",""
"Adult-Use","Verdant Reparative, Inc.","MR282752","Marijuana Retailer","Expedited Review - Social Equity Participant","150 State Street Boston, MA 02109",""
"Adult-Use","Green River Cannabis Company Inc.","MR283094","Marijuana Retailer","General Applicant","150 Hartford Ave Unit C Hopedale, MA 01747",""
"Adult-Use","BeachGrass Topicals LLC","MB281797","Marijuana Microbusiness","Expedited Review - License Type","3103 Cranberry Hwy, Unit F Wareham, MA 02538",""
"Adult-Use","Highmark Provisions, LLC","MC283492","Marijuana Cultivator","General Applicant","201 Summer Street Holliston, MA 01746",""
"Adult-Use","Neamat, LLC","MP282004","Marijuana Product Manufacturer","Expedited Review - DBE Status","290 Millville Road Uxbridge, MA 01569",""
"Adult-Use","Dris Corporation","MX281395","Marijuana Transporter with Other Existing ME License","Expedited Review - Social Equity Participant","16 Tech Circle Suite 202 Natick, MA 01760",""
"Adult-Use","Massachusetts Green Retail, Inc.","MR284144","Marijuana Retailer","General Applicant","829 Boston Street, Lynn, MA 01905 Lynn, MA 01905",""
"Adult-Use","Advanced Cultivators, LLC","MC283314","Marijuana Cultivator","General Applicant","100 Phoenix Avenue Units 3 and 5 Lowell, MA 01852",""
"Adult-Use","Flower & Soul, Inc.","MR284326","Marijuana Retailer","General Applicant","894 Plymouth Street Halifax, MA 02338",""
"Adult-Use","Jolly Green Inc","MC283508","Marijuana Cultivator","General Applicant","246 Suffolk Lane Gardner, MA 01440",""
"Adult-Use","KG Collective Brockton, LLC","MR281374","Marijuana Retailer","Priority Review - Economic Empowerment Priority","912 Crescent Street Brockton, MA 02302",""
"Adult-Use","B.O.T. REALTY, LLC","MR283113","Marijuana Retailer","General Applicant","223 LUNENBURG ST Fitchburg, MA 01420",""
"Adult-Use","High Hawk Farm LLC","MR283968","Marijuana Retailer","General Applicant","80 Main Street Rutland, MA 01543",""
"Adult-Use","Apical, Inc.","MR283720","Marijuana Retailer","General Applicant","144 King Street Northampton, MA 01060",""
"Adult-Use","Debilitating Medical Condition Treatment Centers","MP282067","Marijuana Product Manufacturer","General Applicant","3 River rd Whately, MA 01093",""
"Adult-Use","Northeast Alternatives, Inc.","MC282112","Marijuana Cultivator","Priority Review - MTC Priority","310 Kenneth Welch Dr. Lakeville, MA 02347",""
"Adult-Use","The Heritage Club, LLC","MR282762","Marijuana Retailer","Expedited Review - Social Equity Participant","116 Cambridge Street Boston, MA 02129",""
"Adult-Use","East Boston Local Roots LLC","MR284117","Marijuana Retailer","General Applicant","1006 Bennington Street Boston, MA 02128",""
"Adult-Use","Pudding Hill Farm LLC","MC283501","Marijuana Cultivator","General Applicant","1 Julius Hall Road Parcel A Blandford, MA 01008",""
"Adult-Use","Gan Or LLC","MC283548","Marijuana Cultivator","General Applicant","60 Damon Rd. Northampton, MA 01060",""
"Adult-Use","Cannalive Genetics LLC","MB282302","Marijuana Microbusiness","Expedited Review - License Type","532 Main St Suite 301 Holyoke, MA 01040",""
"Adult-Use","Leaf Lux Group Inc.","MR284051","Marijuana Retailer","General Applicant","40 Lyman Street Holyoke, MA 01040",""
"Adult-Use","Assured Testing Laboratories LLC","IL281360","Independent Testing Laboratory","Expedited Review - License Type","300 Potash Hill Rd Suite A Tyngsborough, MA 01879",""
"Adult-Use","GTE Taunton LLC","MR282958","Marijuana Retailer","Expedited Review - DBE Status","297 Broadway Street Taunton, MA 02780",""
"Adult-Use","Debilitating Medical Condition Treatment Centers","MC283486","Marijuana Cultivator","Priority Review - MTC Priority","7 River Rd Whately, MA 01093",""
"Adult-Use","ELEVATION RETAIL II LLC","MR283887","Marijuana Retailer","General Applicant","240 BRIDGE ST Fairhaven, MA 02719",""
"Adult-Use","Northeast Select Harvest Corp.","MR282571","Marijuana Retailer","General Applicant","378-380 Highland Avenue Somerville, MA 02144",""
"Adult-Use","THE GRATEFUL MIND, LLC","MR282378","Marijuana Retailer","General Applicant","15 Bank Street Wellfleet, MA 02667",""
"Adult-Use","Morandojuana, Inc.","MP281488","Marijuana Product Manufacturer","General Applicant","319 Newburyport Turnpike Units 002/003 Rowley, MA 01969",""
"Adult-Use","Coastal Healing, Inc.","MR282206","Marijuana Retailer","General Applicant","248 State Road Westport, MA 02790",""
"Adult-Use","Green Patriot LLC","MC282987","Marijuana Cultivator","Expedited Review - Two or More","110 Bullards Crossing Hinsdale, MA 01235",""
"Adult-Use","Cypress Tree Management Natick, Inc.","MR283773","Marijuana Retailer","General Applicant","321 Speen Street Natick, MA 01760",""
"Adult-Use","Rooted In, LLC","MR284261","Marijuana Retailer","Expedited Review - DBE Status","331 Newbury Street Boston, MA 02115",""
"Adult-Use","UPROOT LLC","DE201005","Microbusiness Delivery","Expedited Review - Social Equity Participant","41 Fremont St Worcester, MA 01603",""
