License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
403R-00465,JKC MANUFACTURING LLC,STRATOS,Retail Marijuana Cultivation Facility,73 North Research Drive,Pueblo West,81007,2/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00942,JOE CAL ENTERPRISES INC,PAGOSA CRAFT,Retail Marijuana Cultivation Facility,127 Goldmine Drive,Pagosa Springs,81147,5/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00132,JOLET VENTURES LLC,710 LABS,Retail Marijuana Cultivation Facility,10975 East 47th Avenue,Denver,80239,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00067,JT WORLDWIDE LLC,,Retail Marijuana Cultivation Facility,5020 East 41st Avenue,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00792,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Retail Marijuana Cultivation Facility,1075 South Jason Street,Denver,80223,8/19/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01459,K&P ENTERPRISE LLC,ATOMIC CONCENTRATES,Retail Marijuana Cultivation Facility,3601 Freedom Road,Trinidad,81082,8/28/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01488,KARMACEUTICALS LLC,,Retail Marijuana Cultivation Facility,4 South Santa Fe Drive,Denver,80223,9/27/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01259,KBA HOLDINGS LLC,,Retail Marijuana Cultivation Facility,6105 Washington Street,Denver,80216,2/22/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01469,KGA HOLDINGS LLC,PEAKS CANNABIS,Retail Marijuana Cultivation Facility,500 Parsons Road,Walsenburg,81089,5/14/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01346,KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,Retail Marijuana Cultivation Facility,5724 Bueno Drive Units B and C,Fort Collins,80525,9/24/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00624,KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,Retail Marijuana Cultivation Facility,6629 South College Avenue,Fort Collins,80525,11/9/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01478,KIND COLLECTIVE LLC,,Retail Marijuana Cultivation Facility,400 South Lipan Street Unit 20,Denver,80223,6/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00414,KIND LOVE LLC,KIND LOVE,Retail Marijuana Cultivation Facility,4890 North Joliet Street,Denver,80239,12/8/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01122,KIND LOVE MJH LLC,KIND LOVE EXPRESS,Retail Marijuana Cultivation Facility,3899 North Quentin Street,Denver,80239,1/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00539,KINGPIN FARMS LLC,COLORADO ROCKY MOUNTAIN FARMS,Retail Marijuana Cultivation Facility,6470 Galbreth Road,Pueblo,81005,5/16/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00544,KP LLC,BINSKE,Retail Marijuana Cultivation Facility,228 Arthur Avenue,Oak Creek,80467,5/30/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01007,KTA LLC,BE ONE KIND,Retail Marijuana Cultivation Facility,12585 East 39th Avenue,Denver,80239,10/27/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01483,KUSH VALLEY NATURAL LLC,VALLEY NATS,Retail Marijuana Cultivation Facility,319 Mary Jane Lane,Moffat,81143,8/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00267,L'EAGLE SERVICES LLC,L'EAGLE,Retail Marijuana Cultivation Facility,380 North Quivas Street,Denver,80223,9/7/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00973,LASTRIP LLC,,Retail Marijuana Cultivation Facility,60810 County Road AA,Moffat,81143,6/22/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01026,LBW CONSULTING GROUP LLC,SEED & SMITH,Retail Marijuana Cultivation Facility,10665 East 51st Avenue,Denver,80239,12/7/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00887,LBW CONSULTING GROUP LLC,SEED & SMITH,Retail Marijuana Cultivation Facility,5070 North Oakland Street,Denver,80239,2/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00014,LIFE CANNABIS LLC,LIFE CANNABIS,Retail Marijuana Cultivation Facility,231 North Wyandot Street,Denver,80223,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00213,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Cultivation Facility,3950 North Holly Street,Denver,80207,1/27/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00043,LIGHTSHADE LABS LLC,LIGHTSHADE,Retail Marijuana Cultivation Facility,5885 East Evans Avenue,Denver,80222,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00252,LIVWELL I LLC,LIVWELL,Retail Marijuana Cultivation Facility,5141 North National Western Drive,Denver,80216,3/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01085,LOGC LLC,WESTERN SKIES,Retail Marijuana Cultivation Facility,800 West Rio Grande Avenue,Gunnison,81230,5/17/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01133,LONG GONE FARMS LLC,,Retail Marijuana Cultivation Facility,152 East Industrial Boulevard,Pueblo West,81007,3/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01398,LOS SANTOS FARMS LLC,,Retail Marijuana Cultivation Facility,708 Mayor Patricia Reigel Boulevard,Moffat,81143,4/18/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01225,LUCKY777 LLC,LUCKY777 LLC,Retail Marijuana Cultivation Facility,927 Silver Lane,Moffat,81143,7/17/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01524,M & S HOLDINGS LLC,FIREHOUSE,Retail Marijuana Cultivation Facility,19977 Tamarack Circle,Ordway,81063,4/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01312,MA-KALU LLC,MA-KALU LLC,Retail Marijuana Cultivation Facility,20103 Sherman Lane,Ordway,81063,8/9/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00319,MAGIC CITY FARMS 1 LLC,,Retail Marijuana Cultivation Facility,50 North Lipan Street,Denver,80223,7/29/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00243,MAGIC CITY FARMS 2 LLC,MAGIC CITY FARMS,Retail Marijuana Cultivation Facility,3819 North Quentin Street,Denver,80239,3/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00580,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Cultivation Facility,206 Elm Drive,Log Lane Village,80705,8/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01190,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,Retail Marijuana Cultivation Facility,8950 County Lane 20,Ordway,81063,2/13/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01216,MAGNOLIA ROAD LOG LANE LLC,MAGNOLIA ROAD CANNABIS CO.,Retail Marijuana Cultivation Facility,9050 B County Lane 20,Ordway,81063,6/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00773,MALIBU RDL LLC,PURGRO,Retail Marijuana Cultivation Facility,6431 Galbreth Road,Pueblo,81005,7/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01030,MAMMOTH FARMS LLC,MAMMOTH FARMS,Retail Marijuana Cultivation Facility,50562 County Road U,Saguache,81149,12/11/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00429,MAMMOTH FORTE JV LLC,MAMMOTH FARMS,Retail Marijuana Cultivation Facility,"46795 East State Highway 96, Unit 2, 3 & 4",Avondale,81022,12/22/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00203,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,Retail Marijuana Cultivation Facility,4800 Lamar Street,Wheat Ridge,80033,12/14/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01040,MEDPHARM HOLDINGS LLC,BUD & MARY'S CANNABIS,Retail Marijuana Cultivation Facility,3855 North Quentin Street,Denver,80239,1/19/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00133,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,Retail Marijuana Cultivation Facility,1235 North Umatilla Street,Denver,80204,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00473,MIDWEST RANCH LLC,MIDWEST RANCH,Retail Marijuana Cultivation Facility,50100 East Highway 96,Boone,81025,2/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00056,MILE HIGH MEDICAL CANNABIS LLC,LIT,Retail Marijuana Cultivation Facility,4611 East 46th Avenue,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01543,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,Retail Marijuana Cultivation Facility,2805 North Prospect Street,Colorado Springs,80907,9/5/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01239,MIRACLE FARMS LLC,,Retail Marijuana Cultivation Facility,923 Silver Lane,Moffat,81143,9/18/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00643,MISSION HOLDINGS US INC,LEVEL10,Retail Marijuana Cultivation Facility,"3555 Moline Street, Unit B",Aurora,80010,12/8/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01242,MISSION HOLDINGS US INC,LEVEL 10,Retail Marijuana Cultivation Facility,3555 North Moline Street Unit D,Aurora,80010,10/6/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00767,MISSION HOLDINGS US INC,LEVEL 10,Retail Marijuana Cultivation Facility,"3555 North Moline Street, Unit C",Aurora,80010,7/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00457,MN NETWORK LLC,MALEK'S PREMIUM CANNABIS,Retail Marijuana Cultivation Facility,4360 North Vine Street,Denver,80216,2/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01523,MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,Retail Marijuana Cultivation Facility,2903 North Prospect Street,Colorado Springs,80907,4/14/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00779,MOUNTAIN ANNIES LLC,,Retail Marijuana Cultivation Facility,33380 Highway 550,Montrose,81403,7/26/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00546,MOUNTAIN HIGH 14047 LLC,,Retail Marijuana Cultivation Facility,22057 County Road K.5,San Pablo,81152,6/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01351,MOUNTAIN MANAGERS III LLC,EDUN,Retail Marijuana Cultivation Facility,"111 Diamond Loop, Unit B",Parachute,81635,10/8/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00975,MOUNTAIN MANAGERS LLC,EDUN,Retail Marijuana Cultivation Facility,100 Diamond Loop,Parachute,81635,7/3/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01215,MRCC TRINIDAD LLC,SUGARLOAF DISPENSARY,Retail Marijuana Cultivation Facility,9050 A County Lane 20,Ordway,81063,6/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00282,MS LAFAYETTE LLC,MERAKI CANNABIS,Retail Marijuana Cultivation Facility,"1224 Commerce Court, Units 2-7",Lafayette,80026,6/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01374,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,Retail Marijuana Cultivation Facility,1900 South Freeway,Pueblo,81004,2/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00198,NATTY REMS LLC,NATTY REMS,Retail Marijuana Cultivation Facility,4675 North Kingston Street,Denver,80239,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00568,NATURAL ALTERNATIVES FOR HEALTH CORP,,Retail Marijuana Cultivation Facility,"1420 Blue Spruce Drive, Unit G&H",Fort Collins,80524,7/3/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01173,NATURAL ALTERNATIVES FOR HEALTH CORP,,Retail Marijuana Cultivation Facility,5720 Bueno Drive,Fort Collins,80525,9/30/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01450,NATURE MED INC,,Retail Marijuana Cultivation Facility,8114 White Moon Lane,Ordway,81063,3/24/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00066,NATURES HERBS & WELLNESS CENTER,NATURES HERBS & WELLNESS CENTER,Retail Marijuana Cultivation Facility,540 27th Street,Garden City,80631,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00634,NATURES HERBS & WELLNESS CENTER II LLC,,Retail Marijuana Cultivation Facility,17224 North Frontage Road,Log Lane Village,80705,10/30/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01156,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURE'S KISS,Retail Marijuana Cultivation Facility,4332 South Broadway,Englewood,80113,6/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00073,NAVAJO MANAGEMENT LLC,LOCOL LOVE,Retail Marijuana Cultivation Facility,875 North Navajo Street,Denver,80204,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00378,NEBO FINANCIAL CAPITAL LLC,,Retail Marijuana Cultivation Facility,83 Davidson Creek Road,Durango,81301,10/6/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01412,NEWCO LLC,,Retail Marijuana Cultivation Facility,50960 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01413,NEWCO LLC,,Retail Marijuana Cultivation Facility,50962 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01414,NEWCO LLC,,Retail Marijuana Cultivation Facility,51228 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01415,NEWCO LLC,,Retail Marijuana Cultivation Facility,51230 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01416,NEWCO LLC,,Retail Marijuana Cultivation Facility,51232 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01417,NEWCO LLC,,Retail Marijuana Cultivation Facility,51234 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01418,NEWCO LLC,,Retail Marijuana Cultivation Facility,51236 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01419,NEWCO LLC,,Retail Marijuana Cultivation Facility,51238 County Road U,Saguache,81149,6/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01393,NEWCO PARTNERS LLC,,Retail Marijuana Cultivation Facility,51206 County Road U,Saguache,81149,4/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01394,NEWCO PARTNERS LLC,,Retail Marijuana Cultivation Facility,51240 County Road U,Saguache,81149,4/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01395,NEWCO PARTNERS LLC,,Retail Marijuana Cultivation Facility,51242 County Road U,Saguache,81149,4/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01396,NEWCO PARTNERS LLC,,Retail Marijuana Cultivation Facility,51244 County Road U,Saguache,81149,4/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01185,NEWPORT PIER OPERATIONS INC,,Retail Marijuana Cultivation Facility,56260 County Road AA,Moffat,81143,1/30/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00713,NEXT1 LABS LLC,NEXT1 LABS,Retail Marijuana Cultivation Facility,1660 Siloam Road,Pueblo,81005,5/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01390,NO REGERTS GARDENS LLC,,Retail Marijuana Cultivation Facility,696 Mayor Patricia Reigel Boulevard,Moffat,81143,3/21/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00566,NOBO DENVER LLC,,Retail Marijuana Cultivation Facility,6995 Imboden Road,Watkins,80137,7/22/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01065,NOCO CRAFT PRODUCTS LLC,NOKHU LABS,Retail Marijuana Cultivation Facility,5608 South College Avenue,Fort Collins,80525,3/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01387,NOCO FARM LLC,SNAXLAND,Retail Marijuana Cultivation Facility,1118 Ash Street,Nunn,80648,3/24/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00844,NOMADIC LLC,LAZERCAT; ROYAL JELLY,Retail Marijuana Cultivation Facility,8620 Colorado 103,Idaho Springs,80452,11/14/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00083,NS BRECK LIMITED,NORTHERN STANDARD,Retail Marijuana Cultivation Facility,"1795 Airport Road, Unit A-2",Breckenridge,80424,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00716,NUGRO INDUSTRIES INC,,Retail Marijuana Cultivation Facility,2340 Bennett Road,Rye,81069,4/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01344,NUGZ 719 LLC,,Retail Marijuana Cultivation Facility,20220 Sherman Lane,Ordway,81063,9/16/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00025,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,Retail Marijuana Cultivation Facility,4800 North Nome Street,Denver,80239,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00530,NUVUE PHARMA LLC,,Retail Marijuana Cultivation Facility,4740 Dillon Drive,Pueblo,81008,5/5/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00294,OPTIONS CANNABIS CO LTD,OPTIONS,Retail Marijuana Cultivation Facility,"1700 South 120th Street, Units B1, B2, B3A, B3B, B4",Lafayette,80026,10/31/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01244,ORDWAY EXPRESS LLC,THE STATION,Retail Marijuana Cultivation Facility,20390 Tamarack Lane,Ordway,81063,10/6/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00775,ORGANIC AGRICULTURAL CONSULTANTS INC,GODDESS GARDENS,Retail Marijuana Cultivation Facility,2897 59th Lane,Boone,81025,7/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00291,ORGANIC ALTERNATIVES INC,ORGANIC ALTERNATIVES,Retail Marijuana Cultivation Facility,337 Hickory Street,Fort Collins,80524,5/16/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01306,ORTIZ CANNABIS LLC,,Retail Marijuana Cultivation Facility,623 Dunn Deal Drive,Moffat,81143,6/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00984,OTF INVESTMENTS LLC,LOYALTY FARMS,Retail Marijuana Cultivation Facility,"7173 North Foothills Highway, Building F200",Boulder,80302,7/31/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01368,PAKALOLO SPIRITS LLC,,Retail Marijuana Cultivation Facility,603 Dunn Deal Drive,Moffat,81143,1/6/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01535,PAR ENERGY LLC,,Retail Marijuana Cultivation Facility,5290 East 43rd Avenue,Denver,80216,6/16/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01181,PD LLC,MOUNTAIN ORCHID,Retail Marijuana Cultivation Facility,5374B Montezuma Road,Montezuma,80435,12/9/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01251,PEAK MOUNTAIN SERVICES INC,,Retail Marijuana Cultivation Facility,906 MR 45 Lane,Moffat,81143,1/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01166,PEORIA PARK MANAGEMENT LLC,FLATIRONS CANNABIS COMPANY,Retail Marijuana Cultivation Facility,4765 North Oakland Street,Denver,80239,7/19/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01098,PERSONALIZED ORGANIC TREATMENTS LLC,"PERSONALIZED ORGANIC TREATMENTS, LLC",Retail Marijuana Cultivation Facility,11122 East 47th Avenue,Denver,80239,7/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00301,PG GROW II LLC,12 PEAKS FARMS,Retail Marijuana Cultivation Facility,7800 County Road 152,Salida,81201,6/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01537,PHANTOM FARMS LLC,PHANTOM FARMS,Retail Marijuana Cultivation Facility,8552 Maverick Lane,Ordway,81063,7/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00699,PHOENIX FARMS OF BOULDER LLC,PHOENIX FARMS,Retail Marijuana Cultivation Facility,10452 Isabelle Road,Lafayette,80026,3/17/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01339,PHOENIX FARMSTEAD LLC,RIPT,Retail Marijuana Cultivation Facility,223 Norml Lane,Moffat,81143,8/23/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00875,PI 51ST AVENUE LLC,NATTY REMS,Retail Marijuana Cultivation Facility,11100 East 51st Avenue,Denver,80239,1/6/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00676,PJ INVESTMENT GROUP LLC,WISE CANNABIS CO,Retail Marijuana Cultivation Facility,21950 Highway 285,Fairplay,80440,2/8/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00584,POPS FARM INC,POP'S FARM INC,Retail Marijuana Cultivation Facility,3943 County Road 650,Rye,81069,8/18/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01187,POTATO RIOS LLC,,Retail Marijuana Cultivation Facility,914 Silver Lane,Moffat,81143,2/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00712,POTCO SOUTH LLC,POTCO,Retail Marijuana Cultivation Facility,1640 Siloam Road,Pueblo,81005,4/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01435,PRAIRIE FIRE GARDENS LLC,,Retail Marijuana Cultivation Facility,829 South Reigel Court,Moffat,81143,9/12/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00919,PRIME FARMS LLC,,Retail Marijuana Cultivation Facility,6475 Galbreth Road,Pueblo,81005,3/21/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01405,PUFF TUFF CANNABIS LLC,,Retail Marijuana Cultivation Facility,694 Mayor Patricia Reigel  Boulevard,Moffat,81143,5/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00247,R & B CONSULTING INC,IION CANNABIS,Retail Marijuana Cultivation Facility,"4727 North Broadway, Unit D-West",Boulder,80304,3/11/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01498,R & S SOLUTIONS LLC,,Retail Marijuana Cultivation Facility,7440 Rex Road,Pueblo,81005,12/2/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01384,RAIN FLOWER FARMS LLC,,Retail Marijuana Cultivation Facility,402 B Main Street,Antonito,81120,3/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01180,RBF CORP,SINGLE SOURCE COLORADO,Retail Marijuana Cultivation Facility,621 South Jason Street,Denver,80223,12/5/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00458,RD INDUSTRIES LLC,,Retail Marijuana Cultivation Facility,10555 East 45th Avenue,Denver,80239,4/19/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00228,REDWOOD INVESTMENT PARTNERS LLC,BONSAI CULTIVATION,Retail Marijuana Cultivation Facility,1955 South Quince Street,Denver,80231,2/18/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01202,REVEL CULTIVARS LLC,ASTRONOMIC,Retail Marijuana Cultivation Facility,713 Mayor Patricia Reigel Boulevard,Moffat,81143,4/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00933,RIVER ROOTS LLC,,Retail Marijuana Cultivation Facility,52719 East US Highway 50,Boone,81025,4/5/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01207,RJ FARMERS LLC,,Retail Marijuana Cultivation Facility,913 MR 45 Lane,Moffat,81143,4/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00408,RJJ SHERIDAN LLC,NATIVE ROOTS LITTLETON,Retail Marijuana Cultivation Facility,4990 North Dahlia Street,Denver,80216,11/17/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00206,RJL ASSET MANAGEMENT LLC,THE SPOT,Retail Marijuana Cultivation Facility,748 East Industrial Boulevard,Pueblo West,81007,1/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01234,RMRC LLC,HIGH OCTANE GARDENS,Retail Marijuana Cultivation Facility,2181 South 10th Street,Rifle,81650,9/8/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00400,ROCKY MOUNTAIN DISTRIBUTORS LLC,,Retail Marijuana Cultivation Facility,1135 South Jason Street,Denver,80223,11/3/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00836,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,2600 West Barberry Place,Denver,80204,1/25/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00020,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,5305 Steele Street,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00892,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,1200 Republic Drive,Trinidad,81082,2/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00893,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,1201 Republic Drive,Trinidad,81082,2/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00894,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,1202 Republic Drive,Trinidad,81082,2/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00895,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,1203 Republic Drive,Trinidad,81082,2/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01151,ROCKY MOUNTAIN TILLAGE LLC,,Retail Marijuana Cultivation Facility,36900 El Moro Road,Trinidad,81082,5/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00853,ROOTS MANAGEMENT LLC,BAHAMA MAMA CRAFT CANNABIS,Retail Marijuana Cultivation Facility,795 South Jason Street,Denver,80223,11/28/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01052,ROTATION LLC,ROTATION,Retail Marijuana Cultivation Facility,4015 North Elati Street,Denver,80216,2/23/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00139,RR SERVICES LLC,BLOOM COUNTY,Retail Marijuana Cultivation Facility,2252 South Kalamath Street,Denver,80223,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01182,RRSA LLC,,Retail Marijuana Cultivation Facility,8617 Maverick Lane,Ordway,81063,12/23/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00300,RSCT SERVICES LLC,BLOOM COUNTY,Retail Marijuana Cultivation Facility,2656 McCormick Avenue,Pueblo,81001,6/5/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00540,SACCO SOLUTIONS LLC,,Retail Marijuana Cultivation Facility,69 North Mission Drive,Pueblo West,81007,5/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01477,SADIE SERENITY 1 LLC,,Retail Marijuana Cultivation Facility,314 Mary Jane Lane,Moffat,81143,5/30/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00652,SAN JUAN STRAINS INC,,Retail Marijuana Cultivation Facility,95 Industrial Circle,Pagosa Springs,81147,12/30/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01078,SANDERS ENTERPRISE LLC,,Retail Marijuana Cultivation Facility,8227 Maverick Lane,Ordway,81063,4/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00573,SCG HOLDING LLC,GROW FORTH GARDENS,Retail Marijuana Cultivation Facility,853 Greenhorn Mountain Circle,Rye,81069,7/8/2027,2026-04-02 00:00:00,Cultivations,Retail
