License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
402R-00405,VAIL BUD BREWERY LLC,HIGH COUNTRY HEALING 8,Retail Marijuana Store,"40801 US Highway 6, Suite 5",Avon,81620,2/3/2027,2026-04-02 00:00:00,Stores,Retail
402R-01019,VALLEY HIGH LLC,VALLEY HIGH HOTCHKISS,Retail Marijuana Store,179 W. Bridge St. Hotchkiss,Hotchkiss,81419,9/8/2026,2026-04-02 00:00:00,Stores,Retail
402R-00934,VALLEY HIGH LLC,,Retail Marijuana Store,512 2nd Street,Paonia,81428,8/27/2027,2026-04-02 00:00:00,Stores,Retail
402R-00223,VENDING BY A & A LLC,NATURE'S OF SEDGWICK,Retail Marijuana Store,107 Main Avenue,Sedgwick,80749,5/23/2027,2026-04-02 00:00:00,Stores,Retail
402R-01044,VERTS GRAND LAKE LLC,VERTS NEIGHBORHOOD DISPENSARY,Retail Marijuana Store,525 Grand Avenue,Grand Lake,80447,5/3/2027,2026-04-02 00:00:00,Stores,Retail
402R-00545,VERTS LLC,VERTS NEIGHBORHOOD DISPENSARY,Retail Marijuana Store,"1240 West Elizabeth Street, Unit A, B, C, & D",Fort Collins,80521,2/4/2027,2026-04-02 00:00:00,Stores,Retail
402R-00483,VILLAGE RETAIL LLC,BLUE HERON DISPENSARY,Retail Marijuana Store,"100 West Main Street, Unit A",Oak Creek,80467,7/31/2027,2026-04-02 00:00:00,Stores,Retail
402R-00022,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Retail Marijuana Store,1640 East Evans Avenue,Denver,80210,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00818,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Retail Marijuana Store,5238 West 44th Avenue,Denver,80212,4/22/2027,2026-04-02 00:00:00,Stores,Retail
402R-00021,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Retail Marijuana Store,4690 North Brighton Boulevard,Denver,80216,1/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00262,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Retail Marijuana Store,492 South Colorado Boulevard,Glendale,80246,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00586,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Retail Marijuana Store,1750 30th Street Unit 12,Boulder,80301,7/29/2027,2026-04-02 00:00:00,Stores,Retail
402R-00824,VIREO HEALTH OF FOOTHILLS LLC,EMERALD FIELDS,Retail Marijuana Store,5190 South Boulder Road,Boulder,80303,6/6/2027,2026-04-02 00:00:00,Stores,Retail
402R-00708,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Retail Marijuana Store,7521 Ute Highway,Longmont,80503,11/27/2026,2026-04-02 00:00:00,Stores,Retail
402R-00214,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Retail Marijuana Store,"1156 West Dillon Road, Unit 3",Louisville,80027,4/23/2027,2026-04-02 00:00:00,Stores,Retail
402R-00375,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Retail Marijuana Store,27 Manitou Avenue,Manitou Springs,80829,12/16/2026,2026-04-02 00:00:00,Stores,Retail
402R-00701,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Retail Marijuana Store,6924 North 79th Street,Niwot,80503,10/23/2027,2026-04-02 00:00:00,Stores,Retail
402R-01056,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,560 North 7th Avenue,Brighton,80601,9/13/2027,2026-04-02 00:00:00,Stores,Retail
402R-00577,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,5844 Dahlia Street,Commerce City,80022,6/9/2027,2026-04-02 00:00:00,Stores,Retail
402R-00446,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,1451 Cortez Street Unit A,Denver,80221,4/21/2027,2026-04-02 00:00:00,Stores,Retail
402R-00691,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,"9000 Federal Boulevard, Unit B",Federal Heights,80260,8/3/2027,2026-04-02 00:00:00,Stores,Retail
402R-00554,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,5740 South College Avenue Unit A,Fort Collins,80525,2/18/2027,2026-04-02 00:00:00,Stores,Retail
402R-00169,VIREO HEALTH OF NOCO LLC,STAR BUDS,Retail Marijuana Store,2502 8th Avenue,Garden City,80631,1/27/2027,2026-04-02 00:00:00,Stores,Retail
402R-00267,VIREO HEALTH OF SOCO LLC,STAR BUDS,Retail Marijuana Store,10100 East Montview Boulevard,Aurora,80010,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-00316,VIREO HEALTH OF SOCO LLC,STAR BUDS,Retail Marijuana Store,"14655 East Arapahoe Road, Unit B",Aurora,80016,10/1/2027,2026-04-02 00:00:00,Stores,Retail
402R-01104,VIREO HEALTH OF SOCO LLC,STAR BUDS,Retail Marijuana Store,510 East Pikes Peak Avenue,Colorado Springs,80903,4/14/2027,2026-04-02 00:00:00,Stores,Retail
