"Record Type Code","Record Type","License Type","Business Entity Type","Status","County","State"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Adams","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Simpson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lafayette","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Franklin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Hinds","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Prentiss","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Clay","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Simpson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Bolivar","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Adams","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Jackson","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
