"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-003138","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003139","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003140","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003128","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"ERG-005114","Entity Prequalification","GMAC Enterprises LLC",,"04/23/2027","Active - Main Applicant",,,
"GR-B-000052","Class B Grower – License","Oasis Wellness Center of Lansing, LLC","5590 Enterprise CT, Warren MI 48092","03/28/2027","Active",,,
"GR-C-002943","Class C Grower – License","7699, LLC","4451 Ace Commercial CT, Bay City MI 48706","04/23/2027","Active",,,
"ERG-005101","Entity Prequalification","7699, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-003127","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003126","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003125","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003124","Class C Grower – License","Distro 10 Inc","7065 N Kings HWY, Luther MI 49656","08/18/2025","Closed",,,
"GR-C-003061","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003060","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003059","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003058","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003057","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002991","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002990","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002989","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002988","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-003098","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
"GR-C-002987","Class C Grower – License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2025","Closed",,,
