"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"ERG-004222","Entity Prequalification","River Rouge Labs, LLC",,"12/31/2099","Active - Main Applicant",,,
"PR-000249","Processor - License","Smoke Society Bay City","3697 Wilder RD, Bay City MI 48706","11/08/2022","Closed",,,
"GR-C-000897","Class C Grower – License","Private Stock Cannabis, LLC","21445 Hoover RD Suite 220, Warren MI 48089","11/08/2022","Closed",,"Public Documents Available",
"GR-B-000030","Class B Grower – License","Muskegon Grow Co.","1922 Park ST Suite B, Muskegon MI 49441","11/08/2026","Active",,,
"PC-000733","Provisioning Center - License","Iconic Wellness & Provisioning Center","810 Broadus ST, Sturgis MI 49091","11/05/2023","Closed",,,
"GR-C-001006","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001005","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001004","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001003","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001002","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001001","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-001000","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-000999","Class C Grower – License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2022","Closed",,,
"GR-C-000998","Class C Grower – License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2026","Active",,,
"GR-C-000997","Class C Grower – License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2026","Active",,,
"GR-C-000996","Class C Grower – License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2026","Active",,,
"GR-A-000212","Class A Grower – License","Lume Cannabis Co.","200 Hydraulic Falls RD, Iron Mountain MI 49801","03/21/2026","Closed",,,
"PR-000254","Processor - License","Lume Cannabis Co.","200 Hydraulic Falls RD, Iron Mountain MI 49801","03/21/2026","Closed",,,
"PC-000723","Provisioning Center - License","Ultra Cannabis","18207 W Eight Mile RD, Detroit MI 48219","11/04/2025","Closed","Approved","Public Documents Available",
"PC-000737","Provisioning Center - License","Heritage Provisioning","1864 US-23, East Tawas MI 48730","08/31/2022","Closed","Approved","Public Documents Available",
"GR-C-000812","Class C Grower – License","Oak Canna LLC","14402 Prairie ST Suite 420, Detroit MI 48238","11/03/2024","Closed",,"Public Documents Available",
"GR-C-001020","Class C Grower – License","Custom Genetics LLC","6888 Whittemore RD, Whittemore MI 48770","06/03/2025","Closed",,"Public Documents Available",
"PC-000721","Provisioning Center - License","Cloud Cannabis Kalamazoo","521 East Mosel AVE Suite A, Kalamazoo MI 49004","12/22/2023","Closed","Approved",,
"PC-000732","Provisioning Center - License","Pinnacle Emporium","421 S Main ST, Camden MI 49232","12/09/2025","Closed",,,
"PC-000718","Provisioning Center - License","The Twisted Sista, LLC","403 S Main ST, Crystal MI 48818","10/29/2022","Closed",,"Public Documents Available",
"GR-A-000198","Class A Grower – License","Heavenly Harvest Cultivators, Inc.","28868 94Th AVE, Marcellus MI 49067","08/25/2022","Closed",,"Public Documents Available",
"PR-000240","Processor - License","High-Minded Creations","210 W Pickard RD, Mt. Pleasant MI 48858","08/18/2026","Active",,,
"PR-000220","Processor - License","Urban Medical Farms LLC","9700 E 8 Mile RD, Detroit MI 48234","10/26/2025","Closed",,,
"PC-000730","Provisioning Center - License","Green Labs Provisions","10701 Madison ST, Luna Pier MI 48157","10/26/2026","Active","Approved",,
"GR-C-000990","Class C Grower – License","Endo","329 Logan ST, Adrian MI 49221","10/26/2024","Closed",,"Public Documents Available",
"ERG-003284","Entity Prequalification","Green Acres Retail, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000661","Provisioning Center - License","The Grassy Knoll","2125 Lemuel ST, Muskegon MI 49444","10/25/2022","Closed",,,
"GR-C-000877","Class C Grower – License","JIS LLC","2100 S. Washington AVE Suite 53C, Lansing MI 48910","10/25/2022","Closed",,,
"PC-000726","Provisioning Center - License","Lume Cannabis Co.","1116 E State ST, Cheboygan MI 49721","03/21/2023","Closed",,,
"PR-000208","Processor - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2023","Closed",,,
"PC-000722","Provisioning Center - License","Great Lakes Natural Remedies","3465 Sheridan AVE, Saginaw MI 48601","02/21/2023","Closed","Approved",,
"GR-C-000900","Class C Grower – License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","10/29/2026","Active",,,
"PC-000669","Provisioning Center - License","Elite Cannabis","3389 S Huron RD Suite 3, Bay City MI 48706","10/20/2024","Closed","Approved",,
"GR-B-000032","Class B Grower – License","CCG Holdings Group, LLC","3049 S Dog Track RD, Baldwin MI 49304","10/07/2022","Closed",,,
"PR-000253","Processor - License","ELITEXTRACTIONS","75 E Anchor ST, River Rouge MI 48218","10/19/2026","Active",,"Public documents available",
"ERG-004139","Entity Prequalification","VBJG Mt. Clemens LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000717","Provisioning Center - License","That's Nice Dan LLC","776 N Mill ST, Northport MI 49670","10/12/2023","Closed","Approved",,
"GR-C-000983","Class C Grower – License","High Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2026","Active",,,
"GR-C-000982","Class C Grower – License","High-Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2026","Active",,,
"GR-C-000981","Class C Grower – License","High-Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2026","Active",,,
"GR-C-000986","Class C Grower – License","High-Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2025","Closed",,,
"GR-C-000985","Class C Grower – License","High Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2026","Active",,,
"GR-C-000984","Class C Grower – License","High-Minded Harvest","1370 E South ST, Owosso MI 48867","08/18/2026","Active",,,
"PR-000218","Processor - License","Tend.Harvest.Cultivate.","1213 Phillips SW AVE, Grand Rapids MI 49507","07/16/2026","Active",,,
"ERG-004135","Entity Prequalification","Green Genie 3, Inc.",,"12/31/2099","Active - Main Applicant",,,
"ERG-004131","Entity Prequalification","Green Medicine Shop Provisioning, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000670","Provisioning Center - License","KAI-Apple","3737 E. Apple AVE, Muskegon MI 49442","10/11/2022","Closed",,,
"GR-C-000953","Class C Grower – License","Madhaus LLC","21445 Hoover RD Suite 210, Warren MI 48089","10/11/2025","Closed",,,
"GR-C-000880","Class C Grower – License","Madhaus LLC","21445 Hoover RD Suite 210, Warren MI 48089","10/11/2026","Active",,,
"GR-C-000879","Class C Grower – License","Madhaus LLC","21445 Hoover RD Suite 210, Warren MI 48089","10/11/2026","Active",,,
"PR-000210","Processor - License","Society C","4601 Liberty Drive South Suite 710, Lake Orion MI 48359","10/08/2026","Active",,"Public Documents Available",
"GR-C-000511","Class C Grower – License","Groesbeck Pros, Inc.","25300 Groesbeck HWY, Warren MI 48089","10/07/2022","Closed",,,
"PR-000216","Processor - License","WYLD","525 S Court ST Suite 110, Lapeer MI 48446","10/07/2026","Active",,,
"PR-000212","Processor - License","Culture Complex","525 S. Court ST Suite 120, Lapeer MI 48446","10/07/2023","Closed",,"Public documents available",
"GR-A-000193","Class A Grower – License","Faded Acres LLC","3624 Quade HWY, Rogers City MI 49779","10/06/2025","Closed",,,
"PC-000725","Provisioning Center - License","Pure Options - Lansing Frandor","125 N Clippert ST, Lansing MI 48912","10/05/2026","Active",,,
"PR-000221","Processor - License","QR Brands LLC","1028 East Michigan AVE Suite B, Battle Creek MI 49014","10/04/2023","Closed",,,
"PR-000223","Processor - License","Treetown Cannabis","4990 Page AVE, Michigan Center MI 49254","09/10/2025","Closed",,"Public Documents Available",
"PC-000714","Provisioning Center - License","The Chronic Michigan","23751 Hoover RD Suite A, Warren MI 48089","12/19/2025","Closed",,,
"PC-000715","Provisioning Center - License","LivWell Enlightened Health","14210 Eleven Mile RD, Warren MI 48089","07/02/2026","Closed",,,
"GR-C-000954","Class C Grower – License","Blue Sapphire Enterprises LLC","41775 Production Drive, Harrison Township MI 48045","06/07/2022","Closed",,,
"PR-000207","Processor - License","MD Processing, LLC","427 N Steer ST Suite E, Addison MI 49220","09/23/2024","Closed",,,
"PR-000224","Processor - License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2023","Closed",,,
"PR-000219","Processor - License","Area Capital, LLC","2 Johnson CT, Bay City MI 48708","08/05/2024","Closed",,,
"GR-C-000788","Class C Grower – License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2026","Active",,,
"ERG-000181","Entity Prequalification","Oasis Wellness Center of Niles, LLC","MI","12/31/2099","Active - Main Applicant",,,
"GR-C-000949","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"GR-C-000952","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"GR-C-000951","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"GR-C-000950","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"GR-C-000947","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"GR-C-000948","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"PC-000719","Provisioning Center - License","NOBO","107 Water ST Suite 207, Benton Harbor MI 49022","06/02/2023","Closed",,"Public Documents Available",
"GR-A-000108","Class A Grower – License","Vanilla Sunshine LLC","108 Russell RD, Kawkawlin MI 48631","09/14/2026","Active",,,
"PC-000677","Provisioning Center - License","West Malcolm X, LLC","2219 West Malcolm X ST, Lansing MI 48915","09/14/2022","Closed",,"Public Documents Available",
"ERG-003464","Entity Prequalification","Great Lakes Logistical Experts, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000666","Provisioning Center - License","Bloom City Club","2773 South Centerville RD, Sturgis MI 49091","09/10/2022","Closed",,,
"GR-C-000931","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"ERG-003452","Entity Prequalification","Currier, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000886","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000930","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000929","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000928","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000885","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000884","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"GR-C-000883","Class C Grower – License","Oz Farms Inc.","4190 Sieting DR, Luzerne MI 48636","09/08/2026","Active",,,
"PC-000673","Provisioning Center - License","Planted Provisioning","9545 Main ST, Whitmore Lake MI 48189","09/03/2026","Active","Approved","Public Documents Available",
"PC-000675","Provisioning Center - License","Puff","2 Ajax DR, Madison Heights MI 48071","09/03/2025","Closed","Approved",,
"GR-A-000197","Class A Grower – License","Rusch Business Ventures, LLC","84 Snowfield RD, Negaunee MI 49866","09/03/2022","Closed",,,
"ERG-003463","Entity Prequalification","Green Michigan USA LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000899","Class C Grower – License","Pinebrook Warren, LLC","521 East Mosel AVE Suite B, Kalamazoo MI 49004","12/22/2023","Closed",,,
"GR-C-000926","Class C Grower – License","BE Cultivation","901 East State ST, Cassopolis MI 49031","08/31/2024","Closed",,"Public Documents Available",
"GR-C-000867","Class C Grower – License","GreenWell BioMedicinals, LLC","902 Burstein DR, Albion MI 49224","08/31/2022","Closed",,,
"GR-C-000925","Class C Grower – License","BE Cultivation","901 East State ST, Cassopolis MI 49031","08/31/2024","Closed",,"Public Documents Available",
"PR-000151","Processor - License","Green Labs, LLC","9623 Skyline Industrial DR, Morenci MI 49256","10/08/2026","Active",,"Public Documents Available",
"PR-000209","Processor - License","Blue Fox Brands Inc.","1420 South Washington AVE, Lansing MI 48910","08/30/2022","Closed",,,
"PC-000640","Provisioning Center - License","Homegrown Cannabis Co.","117 E Main ST, Owosso MI 48867","08/27/2026","Active","Approved",,
"PR-000215","Processor - License","DKB2, LLC","32900 Dequindre RD Suite C, Warren MI 48092","11/12/2022","Closed",,,
"GR-C-000855","Class C Grower – License","Agro Tek of Michigan Inc","1160 E Pinconning RD, Pinconning MI 48650","08/26/2025","Closed",,"Public Documents Available",
"PC-000674","Provisioning Center - License","Motor City Oasis, LLC","18 Enterprise DR, Vassar MI 48768","08/26/2022","Closed",,,
"PC-000651","Provisioning Center - License","Puff Utica","44825 Van Dyke AVE, Utica MI 48317","08/26/2026","Active","Approved","Public Documents Available",
"GR-C-000903","Class C Grower – License","Tend.Harvest.Cultivate.","1213 Phillips Ave SW, Grand Rapids MI 49507","07/16/2026","Active",,,
"GR-C-000902","Class C Grower – License","Tend.Harvest.Cultivate.","1213 Phillips Ave SW, Grand Rapids MI 49507","07/16/2026","Active",,,
"PC-000658","Provisioning Center - License","Michigan Pure Green, LLC","115 Linden Street, Big Rapids MI 49307","01/22/2023","Closed",,,
"PC-000648","Provisioning Center - License","Olswell-Kalkaska","102 Northland PLZ, Kalkaska MI 49646","07/21/2023","Closed",,,
"PC-000647","Provisioning Center - License","The Outpost Marquette","3475 US 41 West, Marquette MI 49855","03/29/2023","Closed",,,
"GR-C-000924","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000923","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000922","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000921","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000920","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000919","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000918","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000917","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000916","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000915","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000914","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000913","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000912","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000911","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000910","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000909","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000908","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000907","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000906","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000905","Class C Grower – License","Skye Farms, LLC","811 Broadus ST, Sturgis MI 49091","08/20/2022","Closed",,,
"GR-C-000904","Class C Grower – License","Skye Farms, LLC","811 Broadus ST, Sturgis MI 49091","08/20/2022","Closed",,,
"GR-C-000901","Class C Grower – License","Millie Montana Industries","9684 Russell RD, Clare MI 48617","08/20/2025","Closed",,,
"GR-C-000894","Class C Grower – License","Skye Farms, LLC","811 Broadus ST, Sturgis MI 49091","08/20/2022","Closed",,,
"GR-C-000888","Class C Grower – License","Blue Rain Firm, Inc.","417 Maple ST, Kalkaska MI 49646","08/20/2022","Closed",,,
"GR-C-000887","Class C Grower – License","Paisley Trees","21736 Bedford RD, Battle Creek MI 49017","08/20/2026","Active",,"Public Documents Available",
"ERG-003308","Entity Prequalification","CSHM Services, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000189","Class A Grower – License","TOMTOM LLC","6431 East Palmer ST, Detroit MI 48211","08/17/2023","Closed",,,
"GR-C-000890","Class C Grower – License","One Garden","23775 Hoover RD, Warren MI 48089","12/19/2026","Active",,,
"GR-C-000889","Class C Grower – License","One Garden","23775 Hoover RD, Warren MI 48089","12/19/2026","Active",,,
"GR-C-000865","Class C Grower – License","Michigan Roots CC","8799 Pulaski RD, Concord MI 49237","08/13/2024","Closed",,"Public Documents Available",
"PC-000672","Provisioning Center - License","JARS Cannabis","3005 Packard ST, Ann Arbor MI 48108","08/12/2024","Closed","Approved",,
"GR-C-000927","Class C Grower – License","Blue Sapphire Enterprises LLC","41775 Production Drive DR, Harrison Township MI 48045","06/07/2022","Closed",,,
"ERG-003386","Entity Prequalification","WCR Development, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000878","Class C Grower – License","Galenas Michigan, LLC","118 Alvord RD, Camden MI 49232","08/11/2022","Closed",,"Public Documents Available",
"GR-C-000892","Class C Grower – License","Galenas Michigan, LLC","118 Alvord RD, Camden MI 49232","08/11/2022","Closed",,"Public Documents Available",
"GR-C-000868","Class C Grower – License","Tamtamali, L.L.C.","4345 Waterman RD, Vassar MI 48768","08/11/2023","Closed",,,
"GR-A-000194","Class A Grower – License","Mira Company, LLC","5230 Spens RD, Rogers City MI 49779","08/10/2024","Closed",,,
"GR-C-000896","Class C Grower – License","Purple Valley Farms, LLC","53930 28th AVE, Bangor MI 49013","08/05/2023","Closed",,,
"GR-A-000191","Class A Grower – License","Express One D, Inc.","3862 Crooked Creek, Vassar MI 48768","08/10/2026","Active",,"Public documents available",
"PC-000652","Provisioning Center - License","Star Budz Provisioning Center LLC","7035 State RD, Millington MI 48746","08/10/2023","Closed","Approved",,
"GR-C-000733","Class C Grower – License","Noman Investments, LLC","27040 Gloede DR, Warren MI 48088","08/09/2022","Closed",,,
"GR-C-000841","Class C Grower – License","Society C","4601 Liberty Drive South Suite 420, Lake Orion MI 48359","08/06/2026","Active",,"Public Documents Available",
"GR-C-000840","Class C Grower – License","Society C","4601 Liberty Drive South Suite 420, Lake Orion MI 48359","08/06/2026","Active",,"Public Documents Available",
"PC-000659","Provisioning Center - License","New Standard Whitehall","812 East Colby ST Unit A, Whitehall MI 49461","05/09/2023","Closed",,,
"PC-000667","Provisioning Center - License","Pleasantrees Cannabis Company","2161 West Houghton Lake DR, Denton Township MI 48651","09/25/2022","Closed",,,
"GR-C-000853","Class C Grower – License","Area Capital, LLC","2 Johnson CT, Bay City MI 48708","08/05/2023","Closed",,,
"GR-C-000852","Class C Grower – License","Area Capital, LLC","2 Johnson CT, Bay City MI 48708","08/05/2023","Closed",,,
"GR-C-000851","Class C Grower – License","Area Capital, LLC","2 Johnson CT, Bay City MI 48708","08/05/2023","Closed",,,
"GR-C-000847","Class C Grower – License","MJK Pharms, Inc.","12931 Westwood ST, Detroit MI 48223","08/05/2024","Closed",,"Public documents available",
"GR-C-000669","Class C Grower – License","Michigan Aspire II, LLC","21535 Hoover RD, Warren MI 48089","08/05/2026","Active",,"Public Documents Available",
"GR-C-000649","Class C Grower – License","Nura Cannabis","21535 Hoover RD, Warren MI 48089","08/05/2026","Active",,"Public documents available",
"GR-C-000447","Class C Grower – License","Zaza Factory","12934 Evergreen RD Unit 200, Detroit MI 48223","08/05/2026","Active",,,
"ERG-003449","Entity Prequalification","Mira Company, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000862","Class C Grower – License","Purple Valley Farms, LLC","53930 28th AVE, Bangor MI 49013","08/05/2023","Closed",,,
"GR-C-000861","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2025","Closed",,,
"GR-C-000860","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2025","Closed",,,
"GR-C-000859","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2026","Active",,,
"GR-C-000858","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2026","Active",,,
"GR-C-000857","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2026","Active",,,
"GR-C-000856","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2026","Active",,,
"GR-C-000814","Class C Grower – License","Viola Detroit","4473 W Jefferson AVE Suite C, Detroit MI 48209","10/29/2023","Closed",,,
"GR-C-000739","Class C Grower – License","Agronomos, LLC","2520 22nd ST, Detroit MI 48216","09/02/2022","Closed",,,
"GR-C-000742","Class C Grower – License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2025","Closed",,,
"PC-000668","Provisioning Center - License","The Clinic Detroit","13815 W 8 Mile RD, Detroit MI 48235","08/03/2024","Closed",,"Public Documents Available",
"PC-000656","Provisioning Center - License","Gage Cannabis Company","6007 Ann Arbor RD, Jackson MI 49201","07/30/2023","Closed","Approved",,
"GR-A-000178","Class A Grower – License","Premier Cannabis Farms","5103 Lansing RD, Charlotte MI 48813","07/30/2022","Closed",,,
"GR-C-000816","Class C Grower – License","CLC 94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","07/29/2024","Closed",,"Public Documents Available",
"GR-C-000815","Class C Grower – License","CLC 94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","07/29/2024","Closed",,"Public Documents Available",
"GR-C-000793","Class C Grower – License","CLC 94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","07/29/2024","Closed",,"Public Documents Available",
"GR-C-000791","Class C Grower – License","CLC 94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","07/29/2024","Closed",,"Public Documents Available",
"ERG-003367","Entity Prequalification","Great Lakes Cannabis Management Group, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-003424","Entity Prequalification","Great Lakes Greenery LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000864","Class C Grower – License","Old 27 Buds Etc LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2025","Closed",,,
"GR-C-000863","Class C Grower – License","Old 27 Buds Etc LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2025","Closed",,"Public Documents Available",
"PC-000632","Provisioning Center - License","West Coast Meds, LLC","8620 Lyndon ST, Detroit MI 48238","07/26/2023","Closed","Approved",,
"PR-000200","Processor - License","The Machine Grow and Processing, Inc.","29 Beardsley RD Suite B, Ionia MI 48846","06/03/2026","Active",,,
"PC-000650","Provisioning Center - License","HG Lansing LLC","5508 S. Cedar ST, Lansing MI 48911","04/25/2022","Closed",,,
"GR-C-000741","Class C Grower – License","Uplyfted","21445 Hoover RD Suite 200, Warren MI 48089","07/22/2023","Closed",,,
"GR-A-000146","Class A Grower – License","J & R Growers, LLC","1952 W Houghton Lake DR Suite B, Prudenville MI 48651","07/22/2022","Closed",,,
"ERG-003337","Entity Prequalification","Black River Farms, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000846","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2027","Active",,,
"GR-C-000845","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2027","Active",,,
"PC-000653","Provisioning Center - License","JARS Cannabis","1815 Alpine AVE, Grand Rapids MI 49504","04/21/2025","Closed","Approved",,
"PC-000662","Provisioning Center - License","Timber Cannabis Co.","133 Marshall ST, Allegan MI 49010","08/18/2022","Closed","Approved",,
"GR-B-000010","Class B Grower – License","MC3 Botanicals, Inc.","576 Stager Lake RD, Crystal Falls MI 49920","07/20/2022","Closed",,,
"GR-C-000842","Class C Grower – License","Quality Cannabis Farms, LLC","47200 48th ST, Lawrence MI 49064","07/19/2026","Active",,"Public Documents Available",
"GR-C-000882","Class C Grower – License","Quality Cannabis Farms, LLC","47200 48th ST, Lawrence MI 49064","07/19/2026","Active",,"Public Documents Available",
"GR-C-000881","Class C Grower – License","Quality Cannabis Farms, LLC","47200 48th ST, Lawrence MI 49064","07/19/2026","Active",,"Public Documents Available",
"GR-C-000844","Class C Grower – License","50504 28th Ave, Inc.","50405 28th AVE, Bangor MI 49013","07/16/2026","Active",,,
"GR-C-000843","Class C Grower – License","50504 28th Ave, Inc.","50405 28th AVE, Bangor MI 49013","07/16/2026","Active",,,
"GR-A-000119","Class A Grower – License","Geller Trading Company, LLC.","2100 S. Washington AVE Unit 57EU, Lansing MI 48910","07/16/2022","Closed - Suspended",,"Public Documents Available",
"GR-A-000172","Class A Grower – License","JNN Property, LLC","7579 US Highway 131, Fife Lake MI 49633","07/16/2022","Closed",,,
"ERG-003323","Entity Prequalification","D & R Investment Group,  LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000606","Provisioning Center - License","JARS Cannabis","4326 W Pierson RD, Flint MI 48504","07/15/2025","Closed","Approved","Public Documents Available",
"PC-000584","Provisioning Center - License","Greentown USA, LLC","1965 Peck ST, Muskegon MI 49443","07/14/2022","Closed",,,
"PC-000654","Provisioning Center - License","Levels","23968 Sherwood AVE, Center Line MI 48015","07/13/2023","Closed","Approved",,
"PC-000602","Provisioning Center - License","Pincanna","1234 E Grand River AVE, East Lansing MI 48823","12/23/2025","Closed","Approved","Public Documents Available",
"GR-C-000848","Class C Grower – License","Green Arrow","34280 56TH ST, Bangor MI 49013","05/13/2025","Closed",,"Public documents available",
"ERG-003322","Entity Prequalification","Oz Farms Inc.",,"12/31/2099","Active - Main Applicant",,,
"PC-000644","Provisioning Center - License","Lume Cannabis Co.","902 S Cedar ST, Kalkaska MI 49646","03/21/2022","Closed",,,
"GR-A-000179","Class A Grower – License","Ivy League Cannabis Co","471 S Schaefer HWY, Detroit MI 48217","05/27/2024","Closed",,"Public Documents Available",
"GR-C-000850","Class C Grower – License","Green Arrow","34280 56TH ST, Bangor MI 49013","05/13/2025","Closed",,"Public documents available",
"GR-C-000849","Class C Grower – License","Green Arrow","34280 56TH ST, Bangor MI 49013","05/13/2025","Closed",,"Public documents available",
"PC-000657","Provisioning Center - License","Budz Xclusive Cannabis","5808 E McNichols RD, Detroit MI 48212","07/09/2024","Closed",,"Public Documents Available",
