Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0T9tAAF,00090202,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000912c5AAA&facilityId=001t000000L0T9tAAF,10/16/2024,,,Closed (Complete)
001t000000L0T9JAAV,00138428,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000uAKjmAAG&facilityId=001t000000L0T9JAAV,8/8/2025,Dispensary,00000052DCLI00194777,Closed (Complete)
001t000000L0T9KAAV,00064381,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008lFqbAAE&facilityId=001t000000L0T9KAAV,,Dispensary,00000053DCXB00858835,Closed (Complete)
001t000000L0T9KAAV,00064380,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008lGFmAAM&facilityId=001t000000L0T9KAAV,,Establishment,00000058ESFA63267513,Closed (Complete)
001t000000L0T9KAAV,00082279,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AYNQKAA5&facilityId=001t000000L0T9KAAV,4/11/2024,Dispensary,00000053DCXB00858835,Closed (Complete)
001t000000L0T9KAAV,00089603,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs0000079A0vAAE&facilityId=001t000000L0T9KAAV,9/23/2024,,,Closed (Complete)
001t000000L0T9KAAV,00038996,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007DiGtAAK&facilityId=001t000000L0T9KAAV,9/25/2023,Establishment,00000058ESFA63267513,Closed (Complete)
001t000000L0TA1AAN,00036303,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000005JV7FAAW&facilityId=001t000000L0TA1AAN,5/30/2023,Dispensary,00000055DCDA00381095,Closed (Complete)
001t000000L0TA1AAN,00093964,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000M6RqTAAV&facilityId=001t000000L0TA1AAN,12/17/2024,Establishment,00000104ESDH57805022,Closed (Complete)
001t000000L0TA1AAN,00095361,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000PL73KAAT&facilityId=001t000000L0TA1AAN,4/29/2025,Establishment,00000104ESDH57805022,Closed (Complete)
001t000000L0TA3AAN,00115623,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000VCvQVAA1&facilityId=001t000000L0TA3AAN,3/4/2025,Dispensary,00000057DCHF00477864,Closed (Complete)
001t000000L0TBDAA3,00095211,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000OluFRAAZ&facilityId=001t000000L0TBDAA3,2/6/2025,Establishment,00000057ESJG92466754,Closed (Complete)
001t000000L0TBDAA3,00095979,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000RCwjpAAD&facilityId=001t000000L0TBDAA3,2/6/2025,Establishment,00000057ESJG92466754,Closed (Complete)
001t000000L0TBDAA3,00148417,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000017nGK1AAM&facilityId=001t000000L0TBDAA3,11/12/2025,Dispensary,00000113DCUX00454549,Closed (Complete)
001t000000L0TA4AAN,00068073,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000009pTSKAA2&facilityId=001t000000L0TA4AAN,2/2/2024,Dispensary,00000058DCQU00115543,Closed (Complete)
001t000000L0TA6AAN,00133057,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000l8ab9AAA&facilityId=001t000000L0TA6AAN,6/23/2025,Establishment,00000089ESLW87335751,Closed (Complete)
001t000000L0TA7AAN,00078290,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000A7pcRAAR&facilityId=001t000000L0TA7AAN,2/27/2024,Dispensary,00000061DCMK00381513,Closed (Complete)
001t000000L0TA7AAN,00096147,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000RTAIzAAP&facilityId=001t000000L0TA7AAN,2/12/2025,Dispensary,00000061DCMK00381513,Closed (Complete)
001t000000L0TA7AAN,00058205,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007grAIAAY&facilityId=001t000000L0TA7AAN,4/28/2023,Dispensary,00000061DCMK00381513,Closed (Complete)
001t000000L0TB5AAN,00083016,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AgLvIAAV&facilityId=001t000000L0TB5AAN,,Establishment,00000061ESIG65334270,Closed (Complete)
001t000000L0TB5AAN,00086825,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000BJHxhAAH&facilityId=001t000000L0TB5AAN,8/1/2024,Dispensary,00000106DCQV00747138,Closed (Complete)
001t000000L0TB5AAN,00092514,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000HiWGvAAN&facilityId=001t000000L0TB5AAN,11/27/2024,,,Closed (Complete)
001t000000L0TAJAA3,00037842,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000006OrtwAAC&facilityId=001t000000L0TAJAA3,,Establishment,00000100ESEC12878172,Closed (Complete)
001t000000L0TAJAA3,00094623,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000NL5sLAAT&facilityId=001t000000L0TAJAA3,1/7/2025,Establishment,00000100ESEC12878172,Closed (Complete)
001t000000L0TAJAA3,00142974,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000z2dIHAAY&facilityId=001t000000L0TAJAA3,9/16/2025,Dispensary,00000062DCAY00861940,Closed (Complete)
001t000000L0TAKAA3,00064864,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008rptoAAA&facilityId=001t000000L0TAKAA3,,Dispensary,00000064DCTS00268592,Closed (Complete)
001t000000L0TAKAA3,00087926,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000002d668AAA&facilityId=001t000000L0TAKAA3,9/9/2024,,,Closed (Complete)
001t000000L0TAKAA3,00132448,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000k4bD0AAI&facilityId=001t000000L0TAKAA3,6/10/2025,Dispensary,00000064DCTS00268592,Closed (Complete)
001t000000L0TAKAA3,00144873,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs0000110af7AAA&facilityId=001t000000L0TAKAA3,10/1/2025,Establishment,00000125ESMC92036121,Closed (Complete)
001t000000L0TB4AAN,00129619,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000fzaa4AAA&facilityId=001t000000L0TB4AAN,5/29/2025,Establishment,00000064ESAK09838873,Closed (Complete)
001t000000L0TASAA3,00078973,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AEDONAA5&facilityId=001t000000L0TASAA3,3/6/2024,Dispensary,00000065DCLV00799347,Closed (Complete)
001t000000L0TAUAA3,00144141,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000zocjiAAA&facilityId=001t000000L0TAUAA3,,Establishment,00000073ESED95493026,In Process
001t000000L0TA9AAN,00081690,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AS2alAAD&facilityId=001t000000L0TA9AAN,5/1/2024,Dispensary,00000077DCPS00216601,Closed (Complete)
001t000000L0TA9AAN,00078699,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AC4ShAAL&facilityId=001t000000L0TA9AAN,6/10/2024,Establishment,00000067ESBS89254298,Closed (Complete)
001t000000L0TAVAA3,00068064,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000009pRMfAAM&facilityId=001t000000L0TAVAA3,,Establishment,00000091ESHS96689917,Closed (Complete)
001t000000L0TAVAA3,00095688,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000QKYG0AAP&facilityId=001t000000L0TAVAA3,2/13/2025,Establishment,00000091ESHS96689917,Closed (Complete)
001t000000L0TAVAA3,00054925,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007L2B4AAK&facilityId=001t000000L0TAVAA3,8/7/2023,Establishment,00000091ESHS96689917,Closed (Complete)
001t000000L0TAOAA3,00130572,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000h7cpPAAQ&facilityId=001t000000L0TAOAA3,6/3/2025,Establishment,00000068ESZM96727661,Closed (Complete)
001t000000L0TALAA3,00092697,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000I80RwAAJ&facilityId=001t000000L0TALAA3,11/22/2024,,,Closed (Complete)
001t000000L0TALAA3,00127869,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000e3vYzAAI&facilityId=001t000000L0TALAA3,5/7/2025,Establishment,00000080ESNP00364439,Closed (Complete)
001t000000L0TAMAA3,00096581,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000SyS1NAAV&facilityId=001t000000L0TAMAA3,2/20/2025,Establishment,00000099ESVM28064808,Closed (Complete)
001t000000L0TAMAA3,00055541,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007MFYsAAO&facilityId=001t000000L0TAMAA3,,Dispensary,00000070DCBD00783295,Closed (Complete)
001t000000L0TAMAA3,00093528,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000LBCvyAAH&facilityId=001t000000L0TAMAA3,1/21/2025,Dispensary,00000070DCBD00783295,Closed (Complete)
